partai,kode_partai,nama_partai_dbpedia,ideologi_dbpedia,tgl_berdiri_dbpedia,abstrak_partai_dbpedia
Partai Syarikat Islam Indonesia 1905,Q19742811,,,,
Partai Tani Indonesia,Q4204282,,,,
Partai Tionghoa Indonesia,Q12503325,,,,
Partai Ummat,Q106255756,,,,
Partai Ummat Islam,Q19752372,,,,
Partai Ummat Muslimin Indonesia,Q12503326,,,,
Partai Uni Demokrasi Indonesia,Q19744738,,,,
Persatuan Indonesia Raya,Q25466814,,,,
Persatuan Muslim Indonesia,Q19730777,,,,
Persatuan Rakjat Desa,Q4204285,Village People's Union,,,
Persatuan Rakyat Marhaen Indonesia,Q4200849,,,,
Persatuan Tarbiyah Islamiyah,Q12505151,,,,
Relawan Perjuangan Demokrasi,Q19731494,,,,
