"wikidataURI","namaUniversitas","tanggalBerdiri","jumlahMahasiswa","kota","abstrak"
"http://www.wikidata.org/entity/Q14917501","Maulana Malik Ibrahim State Islamic University Malang",,,"Malang",
"http://www.wikidata.org/entity/Q6818526","Mercu Buana University",,,"Jakarta",
,"Methodist University of Indonesia",,1358,"Medan",
"http://www.wikidata.org/entity/Q6865522","Mining Engineering Bandung Islamic University",,,"Bandung",
"http://www.wikidata.org/entity/Q14917503","Muhammadiyah University of Yogyakarta",,,"Bantul Regency",
"http://www.wikidata.org/entity/Q4259201","Muhammadiyah University of Surakarta",,25000,"Sukoharjo Regency",
"http://www.wikidata.org/entity/Q4263077","Muhammadiyah University of Magelang",,,"Magelang",
"http://www.wikidata.org/entity/Q6932911","Muhammadiyah University of Makassar",,22,"Makassar",
"http://www.wikidata.org/entity/Q6933777","Mulawarman University",,35268,"Samarinda",
"http://www.wikidata.org/entity/Q2610734","Multimedia Nusantara University",,,"Tangerang",
"http://www.wikidata.org/entity/Q19744818","Musamus Merauke University",,,,
"http://www.wikidata.org/entity/Q31174054","Nahdlatul Ulama Islamic Institute",,,"Kebumen Regency",
"http://www.wikidata.org/entity/Q48971537","Nahdlatul Ulama Islamic University",,10,"Jepara Regency",
"http://www.wikidata.org/entity/Q7894418","National University (Indonesia)",,,"Jakarta",
,"Nommensen HKBP University",,11,"Medan",
,"Nommensen HKBP University",,11,"Pematangsiantar",
"http://www.wikidata.org/entity/Q4027436","Padang State Polytechnics",,,"Padang",
"http://www.wikidata.org/entity/Q12523421","Pakuan University",,,"West Java",
"http://www.wikidata.org/entity/Q12523421","Pakuan University",,,"Bogor",
"http://www.wikidata.org/entity/Q19749142","Pancasila University",,,,
"http://www.wikidata.org/entity/Q14091635","Parahyangan Catholic University",,9879,"Bandung",
"http://www.wikidata.org/entity/Q25471026","Perbanas Institute",,,"Jakarta",
"http://www.wikidata.org/entity/Q25471026","Perbanas Institute",,,"South Jakarta",
"http://www.wikidata.org/entity/Q7178629","Petra Christian University",,8805,"Surabaya",
"http://www.wikidata.org/entity/Q65005624","Politeknik Industri Furnitur dan Pengolahan Kayu",,99,"Kendal Regency",
"http://www.wikidata.org/entity/Q14917423","Polytechnic ATMI Surakarta",,,"Surakarta",
"http://www.wikidata.org/entity/Q7260871","Purbaya Polytechnic Institute",,200,"Tegal Regency",
"http://www.wikidata.org/entity/Q12486119","Raden Fatah State Islamic University",,,"Palembang",
"http://www.wikidata.org/entity/Q19646412","STIKes KAPUAS RAYA Sintang",,,"Sintang Regency",
"http://www.wikidata.org/entity/Q19646412","STIKes Kapuas Raya",,,"Sintang Regency",
"http://www.wikidata.org/entity/Q7408055","Sam Ratulangi University",,,"Manado",
"http://www.wikidata.org/entity/Q12523449","Samudra University",,,,
"http://www.wikidata.org/entity/Q7415523","Sanata Dharma University",,,"Yogyakarta",
"http://www.wikidata.org/entity/Q7426888","Satya Wacana Christian University",,15156,"Salatiga",
"http://www.wikidata.org/entity/Q7442749","Sebelas Maret University",,34000,"Surakarta",
"http://www.wikidata.org/entity/Q7452397","Sepuluh Nopember Institute of Technology",,,"Surabaya",
"http://www.wikidata.org/entity/Q7452681","Serang Raya University",,5190,"Serang",
"http://www.wikidata.org/entity/Q7553485","Soegijapranata Catholic University",,,"Semarang",
,"Sriwijaya State Polytechnic",,,"Palembang",
