kode_politikus;politikus;kode_pendidikan;pendidikan
Q17410841;Achmad Dimyati Natakusumah;Q534515;Universitas Indonesia
Q17410841;Achmad Dimyati Natakusumah;Q3181122;Universitas Padjadjaran
Q17410841;Achmad Dimyati Natakusumah;Q7476068;Universitas Pasundan
Q17410841;Achmad Dimyati Natakusumah;Q12523323;Universitas Esa Unggul
Q17410342;Achmad Diran;Q1896627;Universitas Lambung Mangkurat
Q97590829;Achmad Farial;Q4200297;Universitas Sriwijaya
Q97590826;Achmad Fauzan H;Q12523331;Universitas Ibnu Chaldun
Q97590826;Achmad Fauzan H;Q12523337;Universitas Islam As-Syafiiyah
Q96989460;Achmad Hafisz Tohir;Q1847733;Universitas Pelita Harapan
Q96989460;Achmad Hafisz Tohir;Q14091635;Universitas Katolik Parahyangan
Q96989460;Achmad Hafisz Tohir;Q97572689;Xaverius III Palembang
Q109564146;Achmad Hatari;Q1145992;Universitas Gadjah Mada
Q109564146;Achmad Hatari;Q3130435;Universitas Cenderawasih
Q109564146;Achmad Hatari;Q3181122;Universitas Padjadjaran
Q16162990;Achmad Husein;Q1579397;Institut Teknologi Bandung
Q25468621;Achmad Mubarok;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q97590834;Achmad Mustaqim;Q3181122;Universitas Padjadjaran
Q97590834;Achmad Mustaqim;Q6177417;Universitas Jenderal Soedirman
Q97590834;Achmad Mustaqim;Q16877900;SMP Negeri 1 Jakarta
Q12470650;Achmad Rilyadi;Q534515;Universitas Indonesia
Q12470650;Achmad Rilyadi;Q12523337;Universitas Islam As-Syafiiyah
Q12470650;Achmad Rilyadi;Q12523428;"Universitas Pembangunan Nasional ""Veteran"" Jakarta"
Q65207954;Achmad Ru'yat;Q534515;Universitas Indonesia
Q4250968;Achmad Soebardjo;Q156598;Universitas Leiden
Q109725208;Achmad Zaki;Q10862512;Akademi Militer
Q65203641;Achmat Juri;Q17997867;Akademi Kepolisian
Q12470687;Adang Daradjatun;Q7391096;SMA Negeri 3 Bandung
Q12470687;Adang Daradjatun;Q17997867;Akademi Kepolisian
Q12470686;Adang Ruchiatna;Q10862512;Akademi Militer
Q49254213;Adang Sudrajat;Q3181122;Universitas Padjadjaran
Q49254213;Adang Sudrajat;Q7697348;Institut Manajemen Telkom
Q85988433;Adde Rosi Khoerunnisa;Q1847733;Universitas Pelita Harapan
Q85988433;Adde Rosi Khoerunnisa;Q12523352;Universitas Islam Syekh Yusuf Tangerang
Q16163236;Ade Armando;Q534515;Universitas Indonesia
Q16163236;Ade Armando;Q861548;Universitas Negeri Florida
Q18421322;Ade Komarudin;Q3181122;Universitas Padjadjaran
Q18421322;Ade Komarudin;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q18421322;Ade Komarudin;Q14091635;Universitas Katolik Parahyangan
Q123152749;Ade Puspitasari;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q19723696;Ade Rezki Pratama;Q4250926;Universitas Trisakti
Q19723696;Ade Rezki Pratama;Q12510488;SMA Negeri 2 Bukittinggi
Q19723696;Ade Rezki Pratama;Q28725246;SMP Negeri 6 Bukittinggi
Q56161334;Ade Yasin;Q19744776;Universitas Ibn Khaldun Bogor
Q4682572;Adhyaksa Dault;Q534515;Universitas Indonesia
