kode_politikus;politikus;kode_pendidikan;pendidikan
Q11093005;Andi Mallarangeng;Q1145992;Universitas Gadjah Mada
Q109564173;Andi Muawiyah Ramly;Q12523348;Universitas Islam Negeri Sunan Kalijaga Yogyakarta
Q12472022;Andi Muhammad Ghalib;Q7590080;St. Mary's Academy of Pasay
Q12472022;Andi Muhammad Ghalib;Q97577635;STHM AHM-PTHM
Q125150845;Andi Muhammad Rum;Q19751985;Institut Pemerintahan Dalam Negeri
Q97590771;Andi Nawir;Q478044;Universitas Hasanuddin
Q97590771;Andi Nawir;Q97570581;Institut Ilmu Pemerintahan Jakarta
Q31174043;Andi Nurpati;Q6482697;Universitas Lampung
Q31174043;Andi Nurpati;Q12522872;UIN Alauddin Makassar
Q31174043;Andi Nurpati;Q12712165;Universitas Negeri Jakarta
Q109438318;Andi Patarai Amir;Q478044;Universitas Hasanuddin
Q109434322;Andi Putra;Q12523371;Universitas Lancang Kuning
Q20278351;Andi Rahmat;Q534515;Universitas Indonesia
Q109564004;Andi Ridwan Wittiri;Q12523285;Universitas Bosowa
Q123245319;Andi Rio Idris Padjalangi;Q350752;Universitas Islam Indonesia
Q123245319;Andi Rio Idris Padjalangi;Q4200627;Universitas Diponegoro
Q132307457;Andi Rosman;Q12523408;Universitas Muslim Indonesia
Q96987676;Andi Ruskati Ali Baal;Q478044;Universitas Hasanuddin
Q96987676;Andi Ruskati Ali Baal;Q19734784;SMA Negeri 1 Majene
Q123667774;Andi Seto Gadhista Asapa;Q598841;Universitas Monash
Q123667774;Andi Seto Gadhista Asapa;Q4250926;Universitas Trisakti
Q49252587;Andi Sudirman Sulaiman;Q478044;Universitas Hasanuddin
Q85988747;Andi Sumangerukka;Q10862512;Akademi Militer
Q97590821;Andi Taufan Tiro;Q478044;Universitas Hasanuddin
Q97590821;Andi Taufan Tiro;Q12510611;SMA Negeri 4 Makassar
Q19745525;Andi Widjajanto;Q534515;Universitas Indonesia
Q96989505;Andi Yuliani Paris;Q2306715;Institut Pertanian Bogor
Q16167068;Andika Hazrumy;Q598841;Universitas Monash
Q16167068;Andika Hazrumy;Q5287796;SMA Negeri 5 Bandung
Q16167068;Andika Hazrumy;Q7476068;Universitas Pasundan
Q16167068;Andika Hazrumy;Q12511196;SMP Negeri 5 Bandung
Q85988763;Andika Pandu Puragabaya;Q534515;Universitas Indonesia
Q85988763;Andika Pandu Puragabaya;Q1145992;Universitas Gadjah Mada
Q85988763;Andika Pandu Puragabaya;Q12510550;SMA Negeri 39 Jakarta
Q85988763;Andika Pandu Puragabaya;Q12510953;SMP Negeri 154 Jakarta
Q12472050;Andre Rosiade;Q4250926;Universitas Trisakti
Q12472050;Andre Rosiade;Q12510519;SMA Negeri 2 Padang
Q12472050;Andre Rosiade;Q77299396;SMP Yos Sudarso Padang
Q19751269;Andreas Hugo Pariera;Q14091635;Universitas Katolik Parahyangan
Q109441109;Andreas Paru;Q3130435;Universitas Cenderawasih
Q109726757;Andri Setiawan Hamami;Q14091635;Universitas Katolik Parahyangan
Q16167160;Andriyanto Johan Syah;Q1579397;Institut Teknologi Bandung
Q16167160;Andriyanto Johan Syah;Q7452397;Institut Teknologi Sepuluh Nopember
Q72242032;Angela Tanoesoedibjo;Q734764;Universitas New South Wales
Q72242032;Angela Tanoesoedibjo;Q1145731;Universitas Teknologi Sydney
Q13091583;Angelina Sondakh;Q2308020;Universitas Katolik Indonesia Atma Jaya
Q117254176;Angelius Wake Kako;Q534515;Universitas Indonesia
Q117254176;Angelius Wake Kako;Q12523324;Universitas Flores
Q56415851;Anggia Ermarini;Q4250919;Universitas Negeri Malang
Q12472112;Anggito Abimanyu;Q49117;Universitas Pennsylvania
Q12472112;Anggito Abimanyu;Q1145992;Universitas Gadjah Mada
Q4263230;Anies Baswedan;Q503415;Universitas Maryland
Q4263230;Anies Baswedan;Q1145992;Universitas Gadjah Mada
Q4263230;Anies Baswedan;Q1191344;Northern Illinois University
Q4263230;Anies Baswedan;Q7895699;University of Maryland School of Public Policy
Q109438098;Anik Maslachah;Q18941968;Universitas Negeri Surabaya
Q96989115;Anis Byarwati;Q534515;Universitas Indonesia
Q96989115;Anis Byarwati;Q1494353;Universitas Airlangga
Q96989115;Anis Byarwati;Q12511105;SMP Negeri 2 Depok
Q96989115;Anis Byarwati;Q28725217;SMA Negeri 28 Jakarta
Q12472171;Anis Matta;Q10862378;Lembaga Ilmu Pengetahuan Islam dan Arab
Q123219135;Anisah Syakur;Q12523344;Universitas Islam Malang
Q123219135;Anisah Syakur;Q109913939;STAI Pancawahana (STAIPANA) Bangil, Pasuruan
Q96989595;Anita Jacoba Gah;Q6124490;Sekolah Tinggi Teologi Jakarta
Q97590560;Anna Mu'awanah;Q4250926;Universitas Trisakti
Q97590560;Anna Mu'awanah;Q12523307;Universitas Borobudur
Q97590560;Anna Mu'awanah;Q12712165;Universitas Negeri Jakarta
Q15939327;Annas Maamun;Q7603634;Universitas Negeri Padang
Q132672765;Annisa Suci Ramadhani;Q49088;Universitas Columbia
Q132672765;Annisa Suci Ramadhani;Q534515;Universitas Indonesia
Q132672765;Annisa Suci Ramadhani;Q7391101;SMA Negeri 8 Jakarta
Q132672765;Annisa Suci Ramadhani;Q123770835;SMP Negeri 20 Pekanbaru
Q14917292;Anny Ratnawati;Q2306715;Institut Pertanian Bogor
Q12472229;Ansory Siregar;Q1351317;Universitas Damaskus
Q4771059;Antasari Azhar;Q4200297;Universitas Sriwijaya
Q105270396;Anthony Winza Probowo;Q1847733;Universitas Pelita Harapan
Q4775650;Anton Apriyantono;Q1432632;University of Reading
Q4775650;Anton Apriyantono;Q2306715;Institut Pertanian Bogor
Q19723955;Anton Charliyan;Q17997867;Akademi Kepolisian
Q96989547;Anton Sukartono Suratto;Q969850;Universitas Stony Brook
Q96989547;Anton Sukartono Suratto;Q12523366;Universitas Krisnadwipayana
Q56392458;Antonius Hubertus Gege Hadjon;Q12523469;Universitas Suryadarma
Q12472274;Antony Zeidra Abidin;Q534515;Universitas Indonesia
Q12472274;Antony Zeidra Abidin;Q17997530;SMA Negeri 5 Jakarta
Q12472274;Antony Zeidra Abidin;Q64888980;SD Negeri 1/VI Bangko I
Q12472274;Antony Zeidra Abidin;Q112590962;SMP Negeri 4 Jambi
Q19723958;Antung Fatmawati;Q12523288;Universitas Achmad Yani
Q96989166;Anwar Idris;Q19744757;Universitas Al Muslim
Q120203772;Anwar Sadad;Q1494353;Universitas Airlangga
Q120221124;Anwar Sadat;Q31173528;UIN Sulthan Thaha Saifuddin
Q25467241;Apri Sujadi;Q7322177;Universitas Riau
Q28485065;Aptripel Tumimomor;Q12523368;Universitas Kristen Indonesia Paulus
Q28485065;Aptripel Tumimomor;Q19734894;SMA Negeri 1 Poso
Q96989443;Aras;Q56394483;Universitas Pejuang Republik Indonesia
Q26236894;Arcandra Tahar;Q49212;Universitas Texas A&M
Q26236894;Arcandra Tahar;Q1579397;Institut Teknologi Bandung
Q26236894;Arcandra Tahar;Q12510519;SMA Negeri 2 Padang
Q26236894;Arcandra Tahar;Q109062183;SMP Negeri 13 Padang
Q96987556;Ardhya Pratiwi S.;Q534515;Universitas Indonesia
Q61119085;Ardi Putra Baramuli;Q1145731;Universitas Teknologi Sydney
Q109431878;Ardito Wijaya;Q4250926;Universitas Trisakti
Q109431878;Ardito Wijaya;Q25471072;Universitas Mitra Indonesia
Q97590547;Ari Yusnita;Q12523330;Universitas Hang Tuah
Q16167910;Aria Bima;Q1145992;Universitas Gadjah Mada
Q4790355;Arief Budiman;Q13371;Universitas Harvard
Q4790355;Arief Budiman;Q534515;Universitas Indonesia
Q4790355;Arief Budiman;Q1824905;Kolese Kanisius
Q28485097;Arief Patanga;Q350752;Universitas Islam Indonesia
Q16168022;Arief Rachadiono Wismansyah;Q534515;Universitas Indonesia
Q109439659;Arief Rohman;Q534515;Universitas Indonesia
Q109439659;Arief Rohman;Q7603641;Universitas Negeri Semarang
Q109439659;Arief Rohman;Q12523315;Universitas Darul 'Ulum
Q12472451;Arief Suditomo;Q1247544;Universitas Westminster
Q12472451;Arief Suditomo;Q3181122;Universitas Padjadjaran
Q12472451;Arief Suditomo;Q64575258;SMP Negeri 12 Jakarta
Q138912983;Aries Marsudiyanto;Q10862512;Akademi Militer
Q18421253;Arif Budimanta;Q534515;Universitas Indonesia
Q18421253;Arif Budimanta;Q2306715;Institut Pertanian Bogor
Q12472457;Arif Rahman Hakim;Q534515;Universitas Indonesia
Q107417842;Arifin Harun Kertasaputra;Q3181122;Universitas Padjadjaran
Q12472461;Arifin Panigoro;Q1579397;Institut Teknologi Bandung
Q12472459;Arifinto;Q12712165;Universitas Negeri Jakarta
Q129808744;Aris Widiharto;Q4259201;Universitas Muhammadiyah Surakarta
Q123715120;Arisal Aziz;Q123454290;SMA Setia Dharma
Q120202799;Arismunandar Kalma;Q19751985;Institut Pemerintahan Dalam Negeri
Q138501917;Arnold Nam;Q3130435;Universitas Cenderawasih
Q61119194;Arrival Boy;Q19744761;Universitas Bung Hatta
Q28731742;Arsul Sani;Q534515;Universitas Indonesia
Q28731742;Arsul Sani;Q1353139;Glasgow Caledonian University
Q28731742;Arsul Sani;Q19741356;Institut Komunikasi dan Bisnis LSPR
Q16168205;Arsyadjuliandi Rachman;Q3443498;Oklahoma City University
Q16168205;Arsyadjuliandi Rachman;Q7442749;Universitas Sebelas Maret
Q16168205;Arsyadjuliandi Rachman;Q12510277;SMA Negeri 1 Bukittinggi
Q16168205;Arsyadjuliandi Rachman;Q19748156;SMA Negeri 3 Yogyakarta
Q16168205;Arsyadjuliandi Rachman;Q123774216;SMP Negeri 4 Bukittinggi
Q56389995;Arteria Dahlan;Q534515;Universitas Indonesia
Q56389995;Arteria Dahlan;Q4250926;Universitas Trisakti
Q16168287;Arton S. Dohong;Q7896055;Universitas Palangka Raya
Q97590556;Arvin Hakim Thoha;Q12523348;Universitas Islam Negeri Sunan Kalijaga Yogyakarta
Q96988307;Arwan M Aras;Q56400170;Universitas Dipa Makassar
Q96988815;Ary Egahni Ben Bahat;Q1896627;Universitas Lambung Mangkurat
Q96988815;Ary Egahni Ben Bahat;Q12510627;SMA Negeri 5 Banjarmasin
Q96988815;Ary Egahni Ben Bahat;Q19739811;SMP Negeri 1 Banjarmasin
Q96988815;Ary Egahni Ben Bahat;Q19752729;Sekolah Tinggi Ilmu Hukum Sultan Adam
Q59656271;Aryo Djojohadikusumo;Q458393;Universitas Durham
Q59656271;Aryo Djojohadikusumo;Q1059517;Kolese Winchester
Q12472588;Arzetti Bilbina;Q7894418;Universitas Nasional
Q12472588;Arzetti Bilbina;Q12510656;SMA Negeri 6 Jakarta
Q25466209;Asafri Jaya Bakri;Q12523349;Universitas Islam Negeri Syarif Hidayatullah Jakarta
Q97590601;Asdi Narang;Q1180978;Universitas Deakin
Q97590601;Asdi Narang;Q4250926;Universitas Trisakti
Q136235960;Asep Sopari Al Ayubi;Q19744837;Universitas Siliwangi
Q136235960;Asep Sopari Al Ayubi;Q109921869;STISIP Tasikmalaya
Q109564299;Ashabul Kahfi;Q12522872;UIN Alauddin Makassar
Q17998386;Asip Kholbihi;Q4200627;Universitas Diponegoro
Q49251416;Askolani Jasi;Q4200297;Universitas Sriwijaya
Q12472657;Asman Abnur;Q280361;Universitas Andalas
Q12472657;Asman Abnur;Q1494353;Universitas Airlangga
Q12472657;Asman Abnur;Q12523322;Universitas Ekasakti
Q16168725;Asnawi Bahar;Q19734560;SMA Don Bosco Padang
Q16168725;Asnawi Bahar;Q19744761;Universitas Bung Hatta
Q16168725;Asnawi Bahar;Q109330029;SMP Frater Padang
Q16168742;Aspar Aswin;Q10862512;Akademi Militer
Q123870984;Asra Faber;Q16182620;Universitas Islam Negeri Imam Bonjol
Q12472703;Asril Das;Q3213529;Universitas Pendidikan Indonesia
Q12472703;Asril Das;Q123814737;SD Negeri 4 Koto Baru
Q16168780;Asril Tanjung;Q7894421;Universitas Terbuka
Q16168780;Asril Tanjung;Q12471190;Akademi Tentara Nasional Indonesia
Q112601372;Asrul;Q12510368;SMA Negeri 1 Padang Panjang
Q112601372;Asrul;Q19751985;Institut Pemerintahan Dalam Negeri
Q112601372;Asrul;Q121119286;SD Negeri 1 Padang Panjang Barat
Q112601372;Asrul;Q121127078;SMP Negeri 1 Padang Panjang
Q12472734;Astrid Susanto;Q153006;Universitas Bebas Berlin
Q12472734;Astrid Susanto;Q168426;University of Münster
Q25462903;Asyirwan Yunus;Q4200341;Universitas Sumatera Utara
Q96989450;Athari Gauthi Ardi;Q1847733;Universitas Pelita Harapan
Q96989450;Athari Gauthi Ardi;Q3267815;Universitas Bina Nusantara
Q96989450;Athari Gauthi Ardi;Q12509746;SD Muhammadiyah 24
Q96989450;Athari Gauthi Ardi;Q12523309;Universitas Bung Karno
Q96989450;Athari Gauthi Ardi;Q12523487;Universitas Wiraswasta Indonesia
Q96989450;Athari Gauthi Ardi;Q12707341;SMA Negeri 70 Jakarta
Q25466593;Atos Pratama;Q4027436;Politeknik Negeri Padang
Q138314729;Audi Murphy Sitorus;Q7603611;Universitas Negeri Medan
Q138314729;Audi Murphy Sitorus;Q19744798;Universitas Katolik Santo Thomas
Q97306763;Audy Joinaldy;Q280361;Universitas Andalas
Q97306763;Audy Joinaldy;Q422208;Universitas dan Riset Wageningen
Q97306763;Audy Joinaldy;Q478044;Universitas Hasanuddin
Q97306763;Audy Joinaldy;Q1145992;Universitas Gadjah Mada
Q97306763;Audy Joinaldy;Q2306715;Institut Pertanian Bogor
Q97306763;Audy Joinaldy;Q14933548;SMA Islam Al-Azhar 1 Jakarta
Q97306763;Audy Joinaldy;Q125034004;SMP Islam Al Azhar I
Q135013426;Aulia Rahman Basri;Q478044;Universitas Hasanuddin
Q136419011;Aulizul Syuib;Q280361;Universitas Andalas
Q136419011;Aulizul Syuib;Q19751985;Institut Pemerintahan Dalam Negeri
Q25468031;Aunur Rafiq;Q19751985;Institut Pemerintahan Dalam Negeri
Q4829801;Awang Faroek Ishak;Q534515;Universitas Indonesia
Q97590604;Awang Ferdian Hidayat;Q12523281;Universitas 17 Agustus 1945 Samarinda
Q31174107;Ayat Cahyadi;Q7322177;Universitas Riau
Q12472914;Ayi Vivananda;Q3181122;Universitas Padjadjaran
Q97592875;Ayub Khan;Q4250919;Universitas Negeri Malang
Q97592875;Ayub Khan;Q64887949;MTs Darul Ulum Rimbo Bujang
Q136538461;Azalea Puteri Utami;Q1145992;Universitas Gadjah Mada
Q97590789;Azam Azman Natawijana;Q7452397;Institut Teknologi Sepuluh Nopember
Q97590708;Azhar Romli;Q534515;Universitas Indonesia
Q97590708;Azhar Romli;Q12712165;Universitas Negeri Jakarta
Q12472974;Aziddin;Q12486122;Universitas Islam Negeri Sumatera Utara
Q109563751;Azikin Solthan;Q478044;Universitas Hasanuddin
Q109563751;Azikin Solthan;Q97570586;APDN Makassar
Q109434697;Aziz Haily;Q97570581;Institut Ilmu Pemerintahan Jakarta
Q16169248;Aziz Syamsuddin;Q1141452;Universitas Western Sydney
Q16169248;Aziz Syamsuddin;Q3181122;Universitas Padjadjaran
Q16169248;Aziz Syamsuddin;Q4250926;Universitas Trisakti
Q16169248;Aziz Syamsuddin;Q12511162;SMP Negeri 3 Jember
Q16169248;Aziz Syamsuddin;Q12523366;Universitas Krisnadwipayana
Q12472980;Azmi Anwar;Q12471190;Akademi Tentara Nasional Indonesia
Q4833145;Azwar Abubakar;Q1579397;Institut Teknologi Bandung
Q4833142;Azwar Anas;Q1579397;Institut Teknologi Bandung
Q76156;B. J. Habibie;Q273263;Universitas Teknologi Rhein Westfalen Aachen
Q76156;B. J. Habibie;Q1579397;Institut Teknologi Bandung
Q4838920;Bachtiar Aly;Q168426;University of Münster
Q4838920;Bachtiar Aly;Q273263;Universitas Teknologi Rhein Westfalen Aachen
Q4838920;Bachtiar Aly;Q3181122;Universitas Padjadjaran
Q4838920;Bachtiar Aly;Q12510986;SMP Negeri 1 Banda Aceh
Q109438091;Baddrut Tamam;Q47927;Universitas Muhammadiyah Malang
Q124794481;Bagus Santoso;Q2306715;Institut Pertanian Bogor
Q124794481;Bagus Santoso;Q7894418;Universitas Nasional
Q4842524;Bahder Djohan;Q1934491;STOVIA
Q97590799;Bahrum Daido;Q478044;Universitas Hasanuddin
Q97590799;Bahrum Daido;Q1494353;Universitas Airlangga
Q49252545;Bakhtiar Ahmad Sibarani;Q19744816;Universitas Muhammadiyah Sumatera Utara
Q97590710;Bambang Atmanto Wiyogo;Q1145992;Universitas Gadjah Mada
Q97590710;Bambang Atmanto Wiyogo;Q17997518;SMA Negeri 4 Jakarta
Q16169810;Bambang Brodjonegoro;Q457281;Universitas Illinois Urbana-Champaign
Q16169810;Bambang Brodjonegoro;Q534515;Universitas Indonesia
Q16169836;Bambang Dwi Hartono;Q18941968;Universitas Negeri Surabaya
Q123346111;Bambang Haryadi;Q19732714;Sekolah Tinggi Ilmu Administrasi Mandala Indonesia
Q96988701;Bambang Heri Purnama;Q12523284;Universitas 17 Agustus 1945 Surabaya
Q109563941;Bambang Patijaya;Q7686915;Universitas Tarumanagara
Q97590756;Bambang Riyanto;Q6177417;Universitas Jenderal Soedirman
Q97590756;Bambang Riyanto;Q7442749;Universitas Sebelas Maret
Q97590756;Bambang Riyanto;Q12523466;Universitas Slamet Riyadi
Q18421409;Bambang Sadono;Q534515;Universitas Indonesia
Q12473894;Bambang Soesatyo;Q7894421;Universitas Terbuka
Q12473894;Bambang Soesatyo;Q12510217;SMA Negeri 14 Jakarta
Q11120678;Bambang Sudibyo;Q1136829;INSEAD
Q11120678;Bambang Sudibyo;Q1145992;Universitas Gadjah Mada
Q11120678;Bambang Sudibyo;Q1191202;University of North Carolina
Q11120678;Bambang Sudibyo;Q1360303;Universitas Kentucky
Q11120678;Bambang Sudibyo;Q19748105;SMA Negeri 1 Temanggung
Q97590724;Bambang Sutrisno;Q4250926;Universitas Trisakti
Q97590724;Bambang Sutrisno;Q17997518;SMA Negeri 4 Jakarta
Q16170072;Bambang Wuryanto;Q1145992;Universitas Gadjah Mada
Q12474142;Bandjela Paliudju;Q19732654;Sekolah calon perwira Indonesia
Q17410431;Barhim;Q12471193;Akademi Angkatan Udara
Q3701615;Basuki Tjahaja Purnama;Q4250926;Universitas Trisakti
Q3701615;Basuki Tjahaja Purnama;Q23807281;Universitas Prasetiya Mulya
Q25465730;Befa Yigibalom;Q1145992;Universitas Gadjah Mada
Q4886112;Ben Mang Reng Say;Q1145992;Universitas Gadjah Mada
Q12475663;Ben Mboi;Q534515;Universitas Indonesia
Q25465756;Benhur Tommy Mano;Q1336952;Universitas Brawijaya
Q114285696;Benni Warlis;Q280361;Universitas Andalas
Q114285696;Benni Warlis;Q12510575;SMA Negeri 3 Padang
Q114285696;Benni Warlis;Q109913064;Sekolah Tinggi Manajemen Labora
Q114285696;Benni Warlis;Q116844713;SD Negeri 4 Biaro
Q114285696;Benni Warlis;Q123774214;SMP Negeri 3 Bukittinggi
Q109434299;Benny Dwifa Yuswir;Q19751985;Institut Pemerintahan Dalam Negeri
Q109434299;Benny Dwifa Yuswir;Q76402712;SMA Negeri 1 Sijunjung
Q109434299;Benny Dwifa Yuswir;Q123774014;SMP Negeri 2 Sijunjung
Q132822994;Benny Indra Ardhianto;Q1145992;Universitas Gadjah Mada
Q132822994;Benny Indra Ardhianto;Q12510320;SMA Negeri 1 Klaten
Q16180049;Benny Kabur Harman;Q534515;Universitas Indonesia
Q16180049;Benny Kabur Harman;Q1336952;Universitas Brawijaya
Q109450394;Benny Rhamdani;Q7408055;Universitas Sam Ratulangi
Q109450394;Benny Rhamdani;Q31781597;SMA KP 1 Ciparay
Q109450394;Benny Rhamdani;Q123389706;SMA Negeri 1 Lirung
Q109450394;Benny Rhamdani;Q123792449;SMP Negeri 1 Pacet
Q109450394;Benny Rhamdani;Q124183367;SD Negeri Pacet 1
Q16170745;Benny Utama;Q7603634;Universitas Negeri Padang
Q16170833;Berry Nahdian Forqan;Q1896627;Universitas Lambung Mangkurat
Q123269180;Bertu Merlas;Q12523297;Universitas Bandar Lampung
Q19724332;Betti Shadiq Pasadigoe;Q280361;Universitas Andalas
Q4261769;Bibit Waluyo;Q7603641;Universitas Negeri Semarang
Q4904525;Biem Triani Benjamin;Q613736;Metropolitan State University of Denver
Q4904525;Biem Triani Benjamin;Q7391421;SMA Pangudi Luhur Jakarta
Q17410438;Bima Arya Sugiarto;Q14091635;Universitas Katolik Parahyangan
Q108894075;Binny Bintarti Buchori;Q1145992;Universitas Gadjah Mada
Q96987689;Bob Andika Mamana Sitepu;Q97200009;Universitas Pembangunan Panca Budi
Q109563938;Bobby Adhityo Rizaldi;Q1100801;Universitas Negeri Cleveland
Q109563938;Bobby Adhityo Rizaldi;Q4250926;Universitas Trisakti
Q109563938;Bobby Adhityo Rizaldi;Q12510564;SMA Negeri 3 Jakarta
Q109563938;Bobby Adhityo Rizaldi;Q12510927;SMP Negeri 115 Jakarta
Q109563938;Bobby Adhityo Rizaldi;Q99088852;SD Negeri 09 Tebet Timur
Q12476725;Boer Mauna;Q209842;Sorbonne Universitas Paris
Q12476725;Boer Mauna;Q534515;Universitas Indonesia
Q12476886;Bomer Pasaribu;Q2306715;Institut Pertanian Bogor
Q14262152;Bondan Gunawan;Q1145992;Universitas Gadjah Mada
Q25467301;Bonnie Triyana;Q4200627;Universitas Diponegoro
Q56416574;Boyman Harun;Q7683446;Universitas Tanjungpura
Q25461822;Brigita Manohara;Q7452397;Institut Teknologi Sepuluh Nopember
Q96988360;Budhy Setiawan;Q2306715;Institut Pertanian Bogor
Q53870701;Budi Bowoleksono;Q12523366;Universitas Krisnadwipayana
Q12477378;Budi Budiman;Q19744837;Universitas Siliwangi
Q65209610;Budi Djiwandono;Q1095773;Clark University
Q65209610;Budi Djiwandono;Q4892294;Berkshire School
Q28723650;Budi Karya Sumadi;Q1145992;Universitas Gadjah Mada
Q28723650;Budi Karya Sumadi;Q12511036;SMP Negeri 1 Palembang
Q28723650;Budi Karya Sumadi;Q57947176;SMA Xaverius 1 Palembang
Q16171590;Budi Sulistyono Kanang;Q1145992;Universitas Gadjah Mada
Q17410452;Budi Supriyanto;Q534515;Universitas Indonesia
Q17410452;Budi Supriyanto;Q12523284;Universitas 17 Agustus 1945 Surabaya
Q97590807;Budi Youyastri;Q1579397;Institut Teknologi Bandung
Q97590807;Budi Youyastri;Q12510564;SMA Negeri 3 Jakarta
Q97590593;Budi Yuwono;Q1579397;Institut Teknologi Bandung
Q4985101;Budiman Sudjatmiko;Q35794;Universitas Cambridge
Q4985101;Budiman Sudjatmiko;Q170027;Universitas London
Q4985101;Budiman Sudjatmiko;Q220144;School of Oriental and African Studies
Q4985101;Budiman Sudjatmiko;Q762068;Clare Hall
Q4985101;Budiman Sudjatmiko;Q1145992;Universitas Gadjah Mada
Q4985101;Budiman Sudjatmiko;Q12511001;SMP Negeri 1 Cilacap
Q105431322;Bukhari Daud;Q319078;Universitas Melbourne
Q105431322;Bukhari Daud;Q681025;University at Buffalo
Q105431322;Bukhari Daud;Q3958218;Universitas Syiah Kuala
Q96989135;Bukhori;Q1141959;Universitas Islam Madinah
Q120203017;Buni Yani;Q1573634;Universitas Udayana
Q12478006;Burhanuddin A. Rasyid;Q1145992;Universitas Gadjah Mada
Q2669297;Burhanuddin Harahap;Q1145992;Universitas Gadjah Mada
Q16171755;Busiri Suryowinoto;Q12523355;Universitas Jayabaya
Q97590613;Capt. Anthon Sihombing;Q4745400;American World University
Q97590613;Capt. Anthon Sihombing;Q12523455;Universitas Satyagama
Q97590613;Capt. Anthon Sihombing;Q28950106;Universitas Surapati
Q97590613;Capt. Anthon Sihombing;Q109911108;Universitas Kutai Kartanegara
Q109437819;Casytha Arriwi Kathmandu;Q319078;Universitas Melbourne
Q109437819;Casytha Arriwi Kathmandu;Q1145992;Universitas Gadjah Mada
Q109437819;Casytha Arriwi Kathmandu;Q19748156;SMA Negeri 3 Yogyakarta
Q109437281;Catur Sugeng Susanto;Q12523371;Universitas Lancang Kuning
Q106878534;Cecep Nurul Yakin;Q3181122;Universitas Padjadjaran
Q106878534;Cecep Nurul Yakin;Q3213529;Universitas Pendidikan Indonesia
Q12478452;Cellica Nurrachadiana;Q5287796;SMA Negeri 5 Bandung
Q12478452;Cellica Nurrachadiana;Q6754778;Universitas Kristen Maranatha
Q12478452;Cellica Nurrachadiana;Q7553485;Universitas Katolik Soegijapranata
Q123726157;Cerint Iralloza Tasya;Q12510366;SMA Negeri 1 Padang
Q123726157;Cerint Iralloza Tasya;Q12523294;Universitas Baiturrahmah
Q123726157;Cerint Iralloza Tasya;Q19746602;SMP Negeri 1 Padang
Q5068118;Chaerul Saleh;Q1890262;Europeesche Lagere School
Q5068118;Chaerul Saleh;Q19727928;Koning Willem III School te Batavia
Q5068118;Chaerul Saleh;Q19752649;Rechtshoogeschool te Batavia
Q16172225;Chairul Anwar;Q534515;Universitas Indonesia
Q16172225;Chairul Anwar;Q19735092;SMA Negeri 12 Jakarta
Q18098280;Charles Honoris;Q1141728;Universitas Kristen Internasional
Q18098280;Charles Honoris;Q5108805;Christ Church Grammar School
Q18098280;Charles Honoris;Q7161482;Pelita Harapan School
Q97590733;Charles J. Mesang;Q7894412;Universitas Kristen Indonesia
Q25471350;Choirul Huda;Q1336952;Universitas Brawijaya
Q97596290;Choirul Muna;Q350752;Universitas Islam Indonesia
Q97596290;Choirul Muna;Q12510337;SMA Negeri 1 Magelang
Q65210443;Cholid Mahmud;Q1145992;Universitas Gadjah Mada
Q2751708;Christiaan Robbert Steven Soumokil;Q156598;Universitas Leiden
Q16172493;Christian Zebua;Q10862512;Akademi Militer
Q12478651;Christiandy Sanjaya;Q7683446;Universitas Tanjungpura
Q16172501;Christiany Eugenia Paruntu;Q7408055;Universitas Sam Ratulangi
Q16172501;Christiany Eugenia Paruntu;Q97598818;SD Budi Mulia Bogor
Q96988349;Christina Aryani;Q534515;Universitas Indonesia
Q96988349;Christina Aryani;Q2308020;Universitas Katolik Indonesia Atma Jaya
Q96988349;Christina Aryani;Q12511291;STIE-IPWI Jakarta
Q17410467;Christina Maria Rantetana;Q534515;Universitas Indonesia
Q25468524;Chusnunia Chalim;Q7894418;Universitas Nasional
Q123715087;Cindy Monica Salsabila Setiawan;Q280361;Universitas Andalas
Q123715087;Cindy Monica Salsabila Setiawan;Q19734560;SMA Don Bosco Padang
Q123715087;Cindy Monica Salsabila Setiawan;Q125033030;SMP Tunas Indonesia
Q10860424;Constant Karma;Q74555374;Universitas Gadjah Mada, Fakultas Kedokteran Hewan
Q2098951;Cornelis;Q1336952;Universitas Brawijaya
Q5173975;Cosmas Batubara;Q534515;Universitas Indonesia
Q109564135;Cucun Ahmad Syamsurijal;Q12486639;Universitas Islam KH. Ruhiat Cipasung
Q109564135;Cucun Ahmad Syamsurijal;Q97577578;MIN 1 Kota Bandung
Q5207888;Dada Rosada;Q7391096;SMA Negeri 3 Bandung
Q97590853;Dadang Rusdiana;Q12523415;Universitas Nurtanio Bandung
Q106878521;Dadang Supriatna;Q4250926;Universitas Trisakti
Q106878521;Dadang Supriatna;Q19744804;Universitas Langlangbuana
Q109436602;Dadi Sunarya Usfa Yursa;Q18627429;Politeknik Negeri Pontianak
Q25470598;Daeng Muhammad;Q97570484;Universitas Yappan
Q25470598;Daeng Muhammad;Q97598446;SMA Negeri 1 Sukatani
Q25463766;Dahlan Hasan Nasution;Q12523432;Universitas Pembinaan Masyarakat Indonesia
Q4252078;Dahlan Iskan;Q12486124;Universitas Islam Negeri UIN Sunan Ampel Surabaya
Q25469488;Damsuar;Q7603634;Universitas Negeri Padang
Q25469488;Damsuar;Q12510382;SMA Negeri 1 Pariaman
Q25469488;Damsuar;Q19751985;Institut Pemerintahan Dalam Negeri
