politikus;kode_politikus
A.A Ngr Sri Artini;Q123699750
A.A. Achmad Tito Setiawan;Q123883193
A.A. Gede Agung Aryawan;Q123868751
A.A. Suryo Nugroho;Q123879815
A.A.B. Haryanto;Q123712801
A.Heru Listianto;Q123874823
A.I. Sulistyorini;Q123883842
A.I.M Nababan;Q123714647
A.M Nur Huda Kalimullah;Q123880269
A.M. Anwar Idrus;Q123897289
A.M. Asnandar S.;Q123891889
A.P. H. Yanuar Saswita;Q123712697
A.P. Jayus;Q123880052
A.R Sri Sukma Palasari;Q123866607
A.R. Krisman Purba;Q123869224
A.Rachman;Q123886954
A.Samsurijal;Q123892620
AA Ngr. Ketut Agus Nadhi Putra;Q122809400
Aa Ade Kadarisman;Q123726021
Aa Sarip;Q123878130
Aa. Ahmad Nawardi;Q123726145
Aad Firdaus;Q123868451
Aam Maryamah;Q123709712
Aam Rama Kusumah;Q123711116
Aam Salam Taufik;Q123878303
Aan Ainur Rofik;Q123884402
Aan Arif Latadano;Q123726119
Aan Hasanudin;Q123879492
Aan Karnamah;Q123868587
Aan Mardiana;Q123879526
Aan Nurjanah;Q123711911
Aan Risnanda Valevi;Q123866647
Aan Rizalni Kurniawan;Q123715334
Aan Rochayanto;Q123713988
Aan Subhan;Q123867944
Aan Surya Priyana;Q123878551
Aan Uju Mihadi;Q123867471
Aan Wiradinata;Q123874171
Aandri Saputra;Q123871253
Aang Anwarudin;Q123878869
Aang Kunaepi;Q123877922
Aang Rusli Ubaidillah;Q123884128
Aank Junaidi;Q123867201
Aanya Rina Casmayanti;Q123725990
Aas Asma;Q123897856
Aba L. Anie;Q123886610
Abadi;Q123874755
Abadi;Q123874796
Abadi Saragih;Q123889714
Abah Qomar;Q123711713
Abah Ruskawan;Q123878357
Abamedika;Q123894392
Abang Hepi Tilanda;Q123710443
Abang Muhammad Nasir;Q123710516
Abang Sjachroel Arifin;Q123875198
Abang Supirman;Q123887331
Abas Abdul Jalil;Q123726526
Abas Hadi Mulyana;Q123879119
Abas Kobasah;Q123878537
Abas Lesnussa;Q123894989
Abas Rosadi;Q123716265
Abas Rusli;Q123891805
Abbas;Q123716678
Abbas;Q123878396
Abbas Achmad;Q123890444
Abbas Patiroi;Q123889819
Abbas Said;Q123709762
Abbas Wahid;Q123894516
Abd Azis;Q123883215
Abd Azis Kulla;Q123894796
Abd Aziz Harun;Q123893721
Abd Gani Latuconsina;Q123895187
Abd Hadi Abidin;Q123866311
Abd Haer;Q123894750
Abd Hakim;Q123891995
Abd Haris;Q123892257
Abd Haris;Q123892555
Abd Haris N Baginda;Q123716322
Abd Kadir;Q123894715
Abd Kadir Mau;Q123886398
Abd Kadir Raharusun;Q123895269
Abd Lathief Syukril Isnain;Q123894806
Abd Latip A;Q123894446
Abd Maujud Mansyoer;Q123714304
Abd Rahim;Q123893718
Abd Rahim H Jangi;Q120838603
Abd Rahim Mas P Sanjata;Q123892001
Abd Rahman;Q123886863
Abd Rahman;Q123894817
Abd Rahman Yahya;Q123894521
Abd Rasid Salim;Q123893999
Abd Razaq;Q123712285
Abd Rokhim;Q123712616
Abd. Afif Efendi;Q123882192
Abd. Asis;Q123893521
Abd. Azis;Q123883293
Abd. Azis;Q123883807
Abd. Aziz Barunda;Q123889924
Abd. Aziz Hentihu;Q123895052
Abd. Aziz Muslim;Q123714183
Abd. Chair A. Mahmud;Q123891033
Abd. Djalil Fatah;Q123726128
Abd. Gani;Q123716428
Abd. Halim;Q123710709
Abd. Halim;Q123888492
Abd. Hamid Shoheh;Q123874665
Abd. Haris;Q123892058
Abd. Haris Mz;Q123883545
Abd. Jalil;Q123889643
Abd. Kadir Assegaff;Q123883380
Abd. Kadir Syah;Q123892481
Abd. Lathif Syafi'i;Q123883567
Abd. Majid S.;Q123892193
Abd. Malik;Q123894546
Abd. Malik. B.;Q123894690
Abd. Manan;Q123891596
Abd. Manan Podungge;Q123893895
Abd. Mannang;Q123716543
Abd. Muflih Simanullang;Q123870295
Abd. Muin Hayat;Q123890497
Abd. Munib Untung;Q123893664
Abd. Munir Razak;Q123892958
Abd. Mutalib;Q123866115
Abd. Muthalib;Q123865863
Abd. Rachman;Q123713531
Abd. Rahim Ode Yani;Q123895963
Abd. Rahman;Q123891168
Abd. Rahman;Q123892308
Abd. Rahman;Q123892533
Abd. Rahman;Q123894505
Abd. Rahman;Q123892141
Abd. Rahman;Q123897085
Abd. Rahman Drakel;Q123895607
Abd. Rahman Rahim;Q123893151
Abd. Rasyid Kota Lima;Q123895308
Abd. Rasyidin Pane;Q123870659
Abd. Razak;Q123891090
Abd. Razaq;Q123869764
Abd. Razaq;Q123868981
Abd. Salam;Q123891653
Abd. Salam Dg. Bali;Q123892159
Abd. Samad;Q123892536
Abd. Samad;Q123894779
Abd. Sami';Q123714419
Abd. Wahab Syahrani;Q123889057
Abd. Wahid Hasyimi;Q123888067
Abd. Wahid Yahya Mardani;Q123891074
Abdal;Q123870491
Abdan Sakuro;Q123878983
Abdan Syakuro Lubis;Q123870078
Abdi Hasan Subari;Q123699428
Abdi Kurniawan;Q123716304
Abdi Maskur;Q123887047
Abdi Rabani;Q123887700
Abdi Rahman;Q123888904
Abdi Reynaldi;Q123892804
Abdi Riduansyah;Q123889473
Abdi Santosa Ritonga;Q123869923
Abdi Van Gobel;Q123890699
Abdianto;Q123867259
Abdika;Q123889801
Abdil Rahman Zaenal;Q123716515
Abdila Albar;Q123895682
Abdillah;Q123888794
Abdinta Sembiring;Q123870607
Abdiyanto;Q123869531
Abdon Nababan;Q123726404
Abdon Siagian;Q123699370
Abdu;Q123866953
Abdu Rohman Mahmud;Q123883968
Abdu Rumkel;Q123897481
Abdu Syakur;Q123714112
Abduh Bakry Pabe;Q123892967
Abduh Hamid Koli Hobol;Q123888219
Abdul Aen;Q123887498
Abdul Akhir;Q123715868
Abdul Ali Simatupang;Q123870334
Abdul Arif;Q123872605
Abdul Asis Bugis;Q123895010
Abdul Azis;Q123710223
