politikus;kode_politikus;partai;kode_partai
Eka Septianing;Q123713759;Partai Amanat Nasional;Q2434365
Eka Septiyaningsih;Q123875991;Partai Persatuan Indonesia;Q19752495
Eka Setiawansyah;Q123869009;Partai Bulan Bintang;Q2915024
Eka Sri Wahyuni;Q123889975;Partai Demokrat (Indonesia);Q1186227
Eka Sri Wahyunita;Q123889877;Partai Golongan Karya;Q1536552
Eka Suprihatin;Q123874452;Partai Gerakan Indonesia Raya;Q4261459
Eka Suraya;Q123874704;Partai Golongan Karya;Q1536552
Eka Syafputra;Q123871315;Partai Persatuan Pembangunan;Q2669302
Eka Virda Ningsi;Q123897470;Partai Persatuan Pembangunan;Q2669302
Eka Wahyuni;Q123889250;Partai Hati Nurani Rakyat;Q4262041
Eka Wahyuni;Q123898587;Partai Keadilan Sejahtera;Q1511101
Eka Wahyuningsih;Q123713725;Partai Buruh;Q4203001
Eka Widodo;Q123713192;Partai Kebangkitan Bangsa;Q1257317
Eka Widya Lestari;Q123868573;Partai Demokrat (Indonesia);Q1186227
Eka Widyani Latief;Q123878844;Partai Keadilan Sejahtera;Q1511101
Eka Winda Kartika Sari;Q123714348;Partai Gerakan Indonesia Raya;Q4261459
Eka Yani Tandawuya;Q123891797;Partai Bulan Bintang;Q2915024
Eka Yuliana;Q123888297;Partai NasDem;Q4207219
Ekber Fakdawer;Q123897417;Partai Golongan Karya;Q1536552
Eki Pitung;Q123710166;Partai Demokrat (Indonesia);Q1186227
Eki Sutiawan;Q123868590;Partai Persatuan Indonesia;Q19752495
Ekky Putra Al Rixi;Q123883819;Partai Solidaritas Indonesia;Q23744654
Eko Adi Prasetya;Q123882674;Partai Gelombang Rakyat Indonesia;Q97016042
Eko Adi Putranto;Q123891058;Partai Kebangkitan Nusantara;Q115754699
Eko Adi Suryawan;Q123879542;Partai Hati Nurani Rakyat;Q4262041
Eko Agung Saputra;Q123874429;Partai Ummat;Q106255756
Eko Agus Permadi;Q123887300;Partai Amanat Nasional;Q2434365
Eko Andika Tarik;Q123873215;Partai Buruh;Q4203001
Eko Awang Prastyo;Q123896138;Partai Kebangkitan Nusantara;Q115754699
Eko Budi Santoso;Q123875007;Partai Persatuan Pembangunan;Q2669302
Eko Budi Santoso;Q123883364;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eko Budianto;Q123875809;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eko Budiman;Q123712610;Partai Buruh;Q4203001
Eko Budiono;Q123895274;Partai Kebangkitan Bangsa;Q1257317
Eko Cahyadi;Q123871155;Partai Golongan Karya;Q1536552
Eko Cahyo Wibowo;Q123710326;Partai Demokrat (Indonesia);Q1186227
Eko Dayanti;Q123876276;Partai Gerakan Indonesia Raya;Q4261459
Eko Dwi Afandi Aryadi;Q123880555;Partai Buruh;Q4203001
Eko Febriansyah;Q123873827;Partai Demokrat (Indonesia);Q1186227
Eko Gundarto;Q123710397;Partai Gelombang Rakyat Indonesia;Q97016042
Eko Handoko;Q123710673;Partai Solidaritas Indonesia;Q23744654
Eko Hari Sutopo;Q123713168;Partai Solidaritas Indonesia;Q23744654
Eko Harianto;Q123883714;Partai Solidaritas Indonesia;Q23744654
Eko Hariyadi Wicaksono;Q123712975;Partai Demokrat (Indonesia);Q1186227
Eko Hariyanto;Q123713905;Partai Kebangkitan Bangsa;Q1257317
Eko Harwanto;Q123872428;Partai Kebangkitan Nusantara;Q115754699
Eko Haryanto P;Q123710016;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eko Heri Sunarto;Q123888258;Partai Persatuan Pembangunan;Q2669302
Eko Indra Jaya;Q123710233;Partai Amanat Nasional;Q2434365
Eko Kurniawan;Q123712707;Partai Kebangkitan Bangsa;Q1257317
Eko Kusumo Sriyanto;Q123884117;Partai Buruh;Q4203001
Eko Mahendro Prastyanto;Q123868857;Partai Gelombang Rakyat Indonesia;Q97016042
Eko Mardiyono;Q123882290;Partai Amanat Nasional;Q2434365
Eko Maruli Silalahi;Q123710454;Partai Persatuan Indonesia;Q19752495
Eko Mega Bintang;Q123877710;Partai Amanat Nasional;Q2434365
Eko Nasib Setiyo;Q123713061;Partai Demokrat (Indonesia);Q1186227
Eko Nugroho;Q123875615;Partai Hati Nurani Rakyat;Q4262041
Eko Nur Sucahyo;Q123884462;Partai Demokrat (Indonesia);Q1186227
Eko Nursantosa;Q123879169;Partai Gerakan Indonesia Raya;Q4261459
Eko Philipus Kogoya;Q123898485;Partai Hati Nurani Rakyat;Q4262041
Eko Prabowo Ramadhan;Q123876342;Partai Kebangkitan Nusantara;Q115754699
Eko Prasetiawan;Q123713764;Partai Bulan Bintang;Q2915024
Eko Prasetyo Wahyudiarto;Q123884040;Partai Demokrat (Indonesia);Q1186227
Eko Prayitno;Q123711238;Partai Bulan Bintang;Q2915024
Eko Prihadiono;Q123868338;Partai Gerakan Indonesia Raya;Q4261459
Eko Prio Ramadona;Q123877042;Partai Solidaritas Indonesia;Q23744654
Eko Priyono;Q123711299;Partai Buruh;Q4203001
Eko Puguh Prasetijo;Q123713952;Partai Kebangkitan Nusantara;Q115754699
Eko Purnomo;Q123712990;Partai Persatuan Pembangunan;Q2669302
Eko Purwanto;Q123713126;Partai Keadilan Sejahtera;Q1511101
Eko Purwanto;Q123878454;Partai Golongan Karya;Q1536552
Eko Purwanto;Q123889310;Partai Ummat;Q106255756
Eko Rahady;Q123885024;Partai Persatuan Indonesia;Q19752495
Eko Rihantoro;Q123882964;Partai Solidaritas Indonesia;Q23744654
Eko Rinaldo;Q123872547;Partai NasDem;Q4207219
Eko Rizki;Q123868332;Partai Kebangkitan Bangsa;Q1257317
Eko Santoso;Q123897459;Partai Solidaritas Indonesia;Q23744654
Eko Sapta Putra;Q123710244;Partai Demokrat (Indonesia);Q1186227
Eko Saputra;Q123711271;Partai Ummat;Q106255756
Eko Sembodo;Q123881593;Partai NasDem;Q4207219
Eko Setyawan;Q123880557;Partai Buruh;Q4203001
Eko Subandi;Q123884201;Partai Ummat;Q106255756
Eko Sudarmaji;Q123880054;Partai Amanat Nasional;Q2434365
Eko Sudarsono;Q123893675;Partai Keadilan Sejahtera;Q1511101
Eko Suharsono;Q123884264;Partai Demokrat (Indonesia);Q1186227
Eko Sulistiyono;Q123710546;Partai Buruh;Q4203001
Eko Sunarwan Rosyadi;Q123875117;Partai Kebangkitan Bangsa;Q1257317
Eko Suprianto;Q123875066;Partai Gelombang Rakyat Indonesia;Q97016042
Eko Suprihatino;Q123887090;Partai Keadilan Sejahtera;Q1511101
Eko Supriyanto;Q123880782;Partai Buruh;Q4203001
Eko Susanto;Q123868054;Partai Persatuan Indonesia;Q19752495
Eko Susilo;Q123867399;Partai Demokrat (Indonesia);Q1186227
Eko Susilo;Q123882011;Partai Gerakan Indonesia Raya;Q4261459
Eko Susilo;Q123880945;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eko Suwanto;Q123882225;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eko Suwarno;Q123713646;Partai Hati Nurani Rakyat;Q4262041
Eko Suwono;Q123876975;Partai Gelombang Rakyat Indonesia;Q97016042
Eko Tejo Marvianto;Q123875141;Partai Golongan Karya;Q1536552
Eko Tristiyanto;Q123874882;Partai Persatuan Pembangunan;Q2669302
Eko Wahyudi;Q123714269;Partai Golongan Karya;Q1536552
Eko Wahyudi;Q123871162;Partai NasDem;Q4207219
Eko Wahyudi;Q123883471;Partai Gerakan Indonesia Raya;Q4261459
Eko Wibowo;Q123713290;Partai Gerakan Indonesia Raya;Q4261459
Eko Widianto;Q123881379;Partai Gelombang Rakyat Indonesia;Q97016042
Eko Witjaksono;Q123877096;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eko Yuli Suryanto;Q123876870;Partai Demokrat (Indonesia);Q1186227
Eko Yunianto;Q123883479;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eko Yunianto;Q123884348;Partai Bulan Bintang;Q2915024
Ekonursujarwo;Q123888872;Partai Kebangkitan Bangsa;Q1257317
Eksa Muhida Asafa;Q123883578;Partai Solidaritas Indonesia;Q23744654
Ekti Imanuel;Q123889599;Partai Gerakan Indonesia Raya;Q4261459
Eky Ganyta Tanziila;Q123714018;Partai Kebangkitan Bangsa;Q1257317
El Adrian Shah;Q123714899;Partai Hati Nurani Rakyat;Q4262041
El El Ellya;Q123878039;Partai Keadilan Sejahtera;Q1511101
El. Koko Hariyono;Q123888975;Partai Kebangkitan Bangsa;Q1257317
Ela Laela;Q123715578;Partai Garda Republik Indonesia;Q123553440
Ela R.;Q123711930;Partai Amanat Nasional;Q2434365
Elah;Q123874563;Partai Kebangkitan Bangsa;Q1257317
Elan Sumana;Q123879256;Partai Bulan Bintang;Q2915024
Elang Wiraning Prang;Q123881629;Partai Gelombang Rakyat Indonesia;Q97016042
Elda Al Hamid;Q123715116;Partai Garda Republik Indonesia;Q123553440
Elda Lelora Purba;Q123875785;Partai Persatuan Indonesia;Q19752495
Elda Mirza Mahendra;Q123873470;Partai NasDem;Q4207219
Elda Murni;Q123710351;Partai Ummat;Q106255756
Elda Pitriani;Q123710999;Partai Garda Republik Indonesia;Q123553440
Elda Yanti;Q123871299;Partai Demokrat (Indonesia);Q1186227
Eldat M. M. Nenabu;Q123716088;Partai Gerakan Indonesia Raya;Q4261459
Eldin Manueke;Q123890529;Partai NasDem;Q4207219
Eldja Septarima;Q123872263;Partai Kebangkitan Bangsa;Q1257317
Eldo Wongkar;Q123890832;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eldofidanis;Q123871574;Partai Hati Nurani Rakyat;Q4262041
Eldy Saputra Wijaya;Q123875399;Partai Keadilan Sejahtera;Q1511101
Eleks Heluka;Q123899094;Partai Hati Nurani Rakyat;Q4262041
Elen Said;Q123893741;Partai Gerakan Indonesia Raya;Q4261459
Elenita Drihestyawati;Q123867789;Partai Keadilan Sejahtera;Q1511101
Elfa Rachmania Savitri;Q123879816;Partai Gelombang Rakyat Indonesia;Q97016042
Elfahmi;Q123871373;Partai Keadilan Sejahtera;Q1511101
Elfariani Renalda Katili;Q123716203;Partai Gelombang Rakyat Indonesia;Q97016042
Elfaurid Aguswantoro;Q123883259;Partai NasDem;Q4207219
Elfianah;Q123715667;Partai NasDem;Q4207219
Elfianti Tanjung;Q123870577;Partai Gerakan Indonesia Raya;Q4261459
Elfianus Josep Tania;Q123890896;Partai Kebangkitan Bangsa;Q1257317
Elfina Br Naibaho;Q123872557;Partai Buruh;Q4203001
Elfinta M. Matondang;Q123869621;Partai Amanat Nasional;Q2434365
Elfis;Q123871614;Partai Persatuan Indonesia;Q19752495
Elfis Sabat;Q123886674;Partai Persatuan Indonesia;Q19752495
Elfiyena;Q123875589;Partai NasDem;Q4207219
Elga Sophie Wisje Maramis;Q123890425;Partai Hati Nurani Rakyat;Q4262041
Elgusta Winda;Q123866947;Partai Demokrat (Indonesia);Q1186227
Elhami;Q123871590;Partai Bulan Bintang;Q2915024
Eli;Q123868525;Partai NasDem;Q4207219
Eli Hestinah;Q123713476;Partai Amanat Nasional;Q2434365
Eli Lanawati;Q123883789;Partai Keadilan Sejahtera;Q1511101
Eli Mahrani Lubis;Q123714710;Partai Kebangkitan Bangsa;Q1257317
Eli Mukhayatun;Q123897990;Partai Persatuan Indonesia;Q19752495
Eli Nurani;Q123887850;Partai Amanat Nasional;Q2434365
Eli Nurhasanah;Q123870467;Partai Demokrat (Indonesia);Q1186227
Eli Nursita;Q123870198;Partai Keadilan Sejahtera;Q1511101
Eli Setiawati;Q123875332;Partai Persatuan Indonesia;Q19752495
Eli Sumarni;Q123872316;Partai Kebangkitan Nusantara;Q115754699
Eli Susanti;Q123873595;Partai Bulan Bintang;Q2915024
Eli Warnita;Q123872106;Partai Keadilan Sejahtera;Q1511101
Eli Yanti;Q123867155;Partai Golongan Karya;Q1536552
Eli Yuvita;Q123879148;Partai Ummat;Q106255756
Elia;Q123878641;Partai Hati Nurani Rakyat;Q4262041
Elia Bessie;Q123885752;Partai Bulan Bintang;Q2915024
Elia Ibrahim Loupatty;Q123716951;Partai Golongan Karya;Q1536552
Elia Karuri;Q123896575;Partai Demokrat (Indonesia);Q1186227
Elia Makuker;Q123897041;Partai Keadilan Sejahtera;Q1511101
Elia Musa Rawar;Q123896355;Partai Gerakan Indonesia Raya;Q4261459
Elia. Dj;Q123890094;Partai Hati Nurani Rakyat;Q4262041
Eliani;Q123884877;Partai Persatuan Indonesia;Q19752495
Elias Ajan;Q123886970;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elias Anou;Q123898671;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elias Barus;Q123870464;Partai Demokrat (Indonesia);Q1186227
Elias Koa;Q123886532;Partai Hati Nurani Rakyat;Q4262041
Elias Lamere;Q123897414;Partai Golongan Karya;Q1536552
Elias Ngguti Jawamara;Q123885953;Partai NasDem;Q4207219
Elias Robert;Q123892014;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elias Saroa;Q123896189;Partai Solidaritas Indonesia;Q23744654
Elias Siliwanus Waroy;Q123896565;Partai Amanat Nasional;Q2434365
Eliasar Frans Mboeik;Q123885868;Partai Amanat Nasional;Q2434365
Eliati;Q123875364;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elida Maria;Q123877632;Partai Golongan Karya;Q1536552
Elida Wati;Q123869714;Partai Buruh;Q4203001
Elidanetti;Q123712149;Partai Keadilan Sejahtera;Q1511101
Eligius Logowan;Q123898866;Partai Kebangkitan Bangsa;Q1257317
Elih Mubarokah;Q123896352;Partai Gerakan Indonesia Raya;Q4261459
Elikus Pigai;Q123898716;Partai Demokrat (Indonesia);Q1186227
Elimelek Degei;Q123898168;Partai Gerakan Indonesia Raya;Q4261459
Elimer Enembe;Q123896438;Partai Demokrat (Indonesia);Q1186227
Elin Apritiani;Q123868491;Partai Gerakan Indonesia Raya;Q4261459
Elin Chaernurelinah;Q123713650;Partai Garda Republik Indonesia;Q123553440
Elin Marlina;Q123878413;Partai Persatuan Indonesia;Q19752495
Elin Purnamasari;Q123709746;Partai NasDem;Q4207219
Elin Suharliah;Q123878288;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elina;Q123879223;Partai Keadilan Sejahtera;Q1511101
Elina Tabuni;Q123898389;Partai Kebangkitan Nusantara;Q115754699
Elip Patmawati;Q123868513;Partai Golongan Karya;Q1536552
Elipin Tebai;Q123898213;Partai Kebangkitan Nusantara;Q115754699
Elis Fina Anggraini;Q123876381;Partai Amanat Nasional;Q2434365
Elis Herlina;Q123874906;Partai Gerakan Indonesia Raya;Q4261459
Elis Nur Hayati;Q123712254;Partai Garda Republik Indonesia;Q123553440
Elis Nurhayati;Q123711113;Partai Amanat Nasional;Q2434365
Elis Rohmatul Maulida;Q123879889;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elis Rosida;Q123711069;Partai Buruh;Q4203001
Elisa;Q123886864;Partai Buruh;Q4203001
Elisa Anandari;Q123714303;Partai Garda Republik Indonesia;Q123553440
Elisa Barnabas Pattiwaellapia;Q123894841;Partai Gerakan Indonesia Raya;Q4261459
Elisa Bunga Allo;Q123891016;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elisa Rahmawati Suryana;Q123888688;Partai Golongan Karya;Q1536552
Elisa Rette;Q123897925;Partai Gerakan Indonesia Raya;Q4261459
Elisa Susanti;Q123875447;Partai Persatuan Indonesia;Q19752495
Elisa Tabuni;Q123898934;Partai Hati Nurani Rakyat;Q4262041
Elisa Yonathan Burami;Q123896617;Partai Gerakan Indonesia Raya;Q4261459
Elisabet Dina Susanti;Q123889635;Partai Persatuan Indonesia;Q19752495
Elisabet Etarusni;Q123887368;Partai Golongan Karya;Q1536552
Elisabet Kurniawati Tjianti;Q123878012;Partai NasDem;Q4207219
Elisabet Nawipa;Q123898767;Partai Kebangkitan Nusantara;Q115754699
Elisabet Ratu Kapa;Q123885763;Partai Solidaritas Indonesia;Q23744654
Elisabeth;Q123894371;Partai Amanat Nasional;Q2434365
Elisabeth;Q123897876;Partai Kebangkitan Nusantara;Q115754699
Elisabeth Douw;Q123898220;Partai Garda Republik Indonesia;Q123553440
Elisabeth Fransina Ehaa;Q123898431;Partai Kebangkitan Bangsa;Q1257317
Elisabeth Intan Kurniasari;Q123881125;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elisabeth Irawati;Q123882472;Partai Gerakan Indonesia Raya;Q4261459
Elisabeth Ivakdalam;Q123897746;Partai Keadilan Sejahtera;Q1511101
Elisabeth L. Augustyn;Q123717112;Partai Solidaritas Indonesia;Q23744654
Elisabeth Lies Rengka;Q123885748;Partai Amanat Nasional;Q2434365
Elisabeth Liu;Q123886496;Partai Golongan Karya;Q1536552
Elisabeth Remetwa;Q123897706;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elisabeth Rumbewas;Q123897312;Partai Ummat;Q106255756
Elisabeth Sampealang Pamimmi;Q123892835;Partai Buruh;Q4203001
Elisabeth Wedha Puspaningtyas;Q123709993;Partai Solidaritas Indonesia;Q23744654
Elisentralisman Lase;Q123876412;Partai Solidaritas Indonesia;Q23744654
Eliseus Warre;Q123710203;Partai Buruh;Q4203001
Elisia Digma Dari;Q123886250;Partai Buruh;Q4203001
Elisna;Q123874061;Partai Persatuan Pembangunan;Q2669302
Elita Khoirunnisa;Q123867842;Partai Persatuan Pembangunan;Q2669302
Elita Kurniawan;Q123877738;Partai Solidaritas Indonesia;Q23744654
Elita Miftakhul Rizki;Q123884123;Partai Buruh;Q4203001
Elita Suryaningsih;Q123867959;Partai Kebangkitan Bangsa;Q1257317
Elitiga Wonda;Q123898163;Partai Kebangkitan Bangsa;Q1257317
Elius Wantik;Q123898968;Partai Persatuan Indonesia;Q19752495
Eliya;Q123715851;Partai Golongan Karya;Q1536552
Eliya Rahmi;Q123710615;Partai Demokrasi Indonesia Perjuangan;Q1186306
Eliyana;Q123889404;Partai Persatuan Indonesia;Q19752495
Eliyatie;Q123888529;Partai Hati Nurani Rakyat;Q4262041
Eliza Deni;Q123871681;Partai Keadilan Sejahtera;Q1511101
Eliza Eka Putri;Q123870797;Partai Amanat Nasional;Q2434365
Eliza Fitria;Q123709994;Partai Persatuan Indonesia;Q19752495
Elizabeth Basalisa;Q123898046;Partai Hati Nurani Rakyat;Q4262041
Elizabeth Leisubun;Q123896625;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elizia;Q123715780;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elkananda Shah;Q123870439;Partai Hati Nurani Rakyat;Q4262041
Elki Friando;Q123887980;Partai Solidaritas Indonesia;Q23744654
Elki Pahabol;Q123899406;Partai Amanat Nasional;Q2434365
Ella Erika;Q123875472;Partai Gerakan Indonesia Raya;Q4261459
Ella Nurlaela Tubagoes;Q123711633;Partai Persatuan Indonesia;Q19752495
Ella Octarianda;Q123873634;Partai Gerakan Indonesia Raya;Q4261459
Ella Rosmini;Q123867665;Partai Keadilan Sejahtera;Q1511101
Ella Shantika;Q123886967;Partai Gerakan Indonesia Raya;Q4261459
Ella Silvia;Q123868120;Partai Amanat Nasional;Q2434365
Ellen Intan Pratiwi;Q123879637;Partai Hati Nurani Rakyat;Q4262041
Ellen Novilensia Kurmasela;Q123894959;Partai Persatuan Indonesia;Q19752495
Elliawati;Q123873810;Partai Garda Republik Indonesia;Q123553440
Ellis Susanti Bako;Q123870528;Partai Keadilan Sejahtera;Q1511101
Elly Almanar;Q123871221;Partai Gerakan Indonesia Raya;Q4261459
Elly Aprianti;Q123873272;Partai Solidaritas Indonesia;Q23744654
Elly Aprillia;Q123876872;Partai Demokrat (Indonesia);Q1186227
Elly Asso;Q123898879;Partai Gerakan Indonesia Raya;Q4261459
Elly Farida;Q123878838;Partai Keadilan Sejahtera;Q1511101
Elly Hayati;Q123874427;Partai Persatuan Pembangunan;Q2669302
Elly Karmida;Q123877523;Partai Garda Republik Indonesia;Q123553440
Elly Marethe;Q123887821;Partai Keadilan Sejahtera;Q1511101
Elly Maryanti;Q123878699;Partai Persatuan Indonesia;Q19752495
Elly Rahmah;Q123888065;Partai Keadilan Sejahtera;Q1511101
Elly Rahmah;Q123888576;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elly Rosdiana;Q123889478;Partai NasDem;Q4207219
Elly Rosita;Q123881087;Partai Ummat;Q106255756
Elly Suryanti;Q123715488;Partai Persatuan Pembangunan;Q2669302
Elly Wahyuni;Q123874444;Partai Gerakan Indonesia Raya;Q4261459
Elly Wanma;Q123897211;Partai Hati Nurani Rakyat;Q4262041
Elly Weya;Q123899198;Partai Garda Republik Indonesia;Q123553440
Elly Wonda;Q123898448;Partai Golongan Karya;Q1536552
Ellya Fuadiyah;Q123882722;Partai Persatuan Pembangunan;Q2669302
Ellya Noor;Q123888312;Partai Gelombang Rakyat Indonesia;Q97016042
Ellys Safitri;Q123884254;Partai Amanat Nasional;Q2434365
Ellyzabeth C.H. Mailoa;Q123876280;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elma Elly;Q123895239;Partai NasDem;Q4207219
Elman Gea;Q123870182;Partai NasDem;Q4207219
Elman Sirait;Q123879959;Partai Persatuan Indonesia;Q19752495
Elmar Agustian;Q123886741;Partai Kebangkitan Nusantara;Q115754699
Elmayulis;Q123871106;Partai Bulan Bintang;Q2915024
Elmi Sukaisih;Q123871486;Partai Persatuan Indonesia;Q19752495
Elmiaty;Q123893074;Partai Kebangkitan Nusantara;Q115754699
Elmita;Q123889538;Partai Garda Republik Indonesia;Q123553440
Elmiyati;Q123866832;Partai Demokrat (Indonesia);Q1186227
Elni;Q123893614;Partai Demokrat (Indonesia);Q1186227
Elok Fitriya Ningsih;Q123883386;Partai Gelombang Rakyat Indonesia;Q97016042
Elon Rajak;Q123894299;Partai Persatuan Indonesia;Q19752495
Elpiani Sirait;Q123714698;Partai Persatuan Pembangunan;Q2669302
Elpita Rini Nengsih;Q123876043;Partai Golongan Karya;Q1536552
Elsa Adonia Kul;Q123897896;Partai Bulan Bintang;Q2915024
Elsa Agustina;Q123872988;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elsa Elise Enok;Q123896613;Partai Kebangkitan Bangsa;Q1257317
Elsa Haerani;Q123879700;Partai Golongan Karya;Q1536552
Elsa Marhaeni Damayanti;Q123883927;Partai Gerakan Indonesia Raya;Q4261459
Elsa Nur Saufida;Q123710175;Partai Persatuan Pembangunan;Q2669302
Elsa Oktavia;Q123873882;Partai Gerakan Indonesia Raya;Q4261459
Elsa Wahyu Prihastutik;Q123877957;Partai Persatuan Indonesia;Q19752495
Elsan Tomi Sagita;Q123874929;Partai Golongan Karya;Q1536552
Elsaria Silaban;Q123889288;Partai Solidaritas Indonesia;Q23744654
Elsawati;Q123871142;Partai Gerakan Indonesia Raya;Q4261459
Else Pasenggong;Q123892962;Partai Hati Nurani Rakyat;Q4262041
Elsha Rismayanti Sundari;Q123870153;Partai Ummat;Q106255756
Elsha Stefhanie Marolly;Q123886444;Partai Solidaritas Indonesia;Q23744654
Elsi Solfiana Tomboy;Q123885759;Partai Demokrat (Indonesia);Q1186227
Elsiana Ribka Kalembang;Q123897303;Partai Ummat;Q106255756
Elsina Kapisa;Q123897862;Partai Golongan Karya;Q1536552
Elsje Irene J Kiriwenno;Q123894896;Partai Kebangkitan Nusantara;Q115754699
Elsy Rosalina;Q123875391;Partai Buruh;Q4203001
Elsya Sinur Harahap;Q123870064;Partai Buruh;Q4203001
Elva Farhi Qolbina;Q123876406;Partai Solidaritas Indonesia;Q23744654
Elva Kartika Sari Sirait;Q123870642;Partai Kebangkitan Nusantara;Q115754699
Elva Sukmayanti;Q123884747;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elva Yurdeansi;Q123715413;Partai Keadilan Sejahtera;Q1511101
Elvaria Novianti;Q123873865;Partai Kebangkitan Bangsa;Q1257317
Elvi Andriani;Q123872979;Partai Gerakan Indonesia Raya;Q4261459
Elvi Diana;Q123875474;Partai Demokrasi Indonesia Perjuangan;Q1186306
Elvi Kusyani;Q123884589;Partai Amanat Nasional;Q2434365
Elvi Sibarani;Q123875884;Partai Gerakan Indonesia Raya;Q4261459
Elvi Susanti;Q123874782;Partai Ummat;Q106255756
Elviana M. E. Pattiasina/m;Q123894934;Partai Demokrat (Indonesia);Q1186227
Elvin Yanuar Syahri;Q123866833;Partai Demokrat (Indonesia);Q1186227
Elvina;Q123870939;Partai Kebangkitan Bangsa;Q1257317
Elvina Anggraeni;Q123871883;Partai Demokrat (Indonesia);Q1186227
Elvina Nurunisa;Q123883617;Partai Gerakan Indonesia Raya;Q4261459
Elvina Odilia Klara Amjaram;Q123898152;Partai Ummat;Q106255756
Elvira Heriyani;Q123865876;Partai Persatuan Indonesia;Q19752495
Elvira Kori;Q123889937;Partai Hati Nurani Rakyat;Q4262041
Elvira Piter;Q123890155;Partai Persatuan Indonesia;Q19752495
Elvirahayu;Q123894385;Partai Solidaritas Indonesia;Q23744654
Elvis;Q123891229;Partai Demokrat (Indonesia);Q1186227
Elvis Bakri;Q123866858;Partai Ummat;Q106255756
Elvis Charles Lahallo;Q123895044;Partai Solidaritas Indonesia;Q23744654
Elvis Doce;Q123896685;Partai Kebangkitan Nusantara;Q115754699
Elvis Rialdy Nara Hida;Q123713132;Partai Kebangkitan Nusantara;Q115754699
Elvita;Q123874510;Partai Amanat Nasional;Q2434365
Elvita Erni Apriliana;Q123882447;Partai Persatuan Pembangunan;Q2669302
Elvrida Nafurbenan;Q123897466;Partai Persatuan Indonesia;Q19752495
Elvy Sukesi Sianipar;Q123870553;Partai Solidaritas Indonesia;Q23744654
Ely Asmawati;Q123872870;Partai Golongan Karya;Q1536552
Ely Astuty;Q123870617;Partai Buruh;Q4203001
Ely Fitriani;Q123884270;Partai Solidaritas Indonesia;Q23744654
Ely Hartati Rasyid;Q123889448;Partai Demokrasi Indonesia Perjuangan;Q1186306
Ely Hatorangan S.;Q123876995;Partai Kebangkitan Nusantara;Q115754699
Ely Rosa;Q123873396;Partai Amanat Nasional;Q2434365
Ely Steven Ingratubun;Q123895441;Partai Demokrat (Indonesia);Q1186227
Ely Susliana;Q123866855;Partai Persatuan Pembangunan;Q2669302
Ely Walimah;Q123879220;Partai Keadilan Sejahtera;Q1511101
Elya Dwi Jayanti;Q123867020;Partai Persatuan Pembangunan;Q2669302
Elya Kusdarini;Q123884455;Partai Bulan Bintang;Q2915024
Elya Vidyah Aulia Albugis;Q123895710;Partai Bulan Bintang;Q2915024
Elyana Rizal;Q123865857;Partai Bulan Bintang;Q2915024
Elyas;Q123887813;Partai Gelombang Rakyat Indonesia;Q97016042
Elyas Marwan Sembiring;Q123714891;Partai Keadilan Sejahtera;Q1511101
Elyga Nitami;Q123888482;Partai Persatuan Pembangunan;Q2669302
Elys Yulia Wulandari;Q123884509;Partai Gerakan Indonesia Raya;Q4261459
Elza Wahyuni;Q123874288;Partai Solidaritas Indonesia;Q23744654
Ema Kulata Lebora;Q123887138;Partai Persatuan Indonesia;Q19752495
Ema M. I Ramar;Q123897674;Partai Ummat;Q106255756
Ema Mudiyana;Q123713562;Partai Garda Republik Indonesia;Q123553440
Ema Rahmawati;Q123875001;Partai Persatuan Indonesia;Q19752495
Ema Rohimawati;Q123868368;Partai Golongan Karya;Q1536552
Ema Suryaningsih;Q123711223;Partai Garda Republik Indonesia;Q123553440
Ema Tiara Sari;Q123893715;Partai Persatuan Indonesia;Q19752495
Ema Wardani;Q123887930;Partai Golongan Karya;Q1536552
Ema Zonggonau;Q123717086;Partai Demokrasi Indonesia Perjuangan;Q1186306
Emalia;Q123867354;Partai Gerakan Indonesia Raya;Q4261459
Emalya Zamzam;Q123877337;Partai Garda Republik Indonesia;Q123553440
Eman Mangopa;Q123894095;Partai Keadilan Sejahtera;Q1511101
