politikus;kode_politikus;partai;kode_partai
A. Jaini;Q123867761;Partai Golongan Karya;Q1536552
A. Jazuli Abdillah;Q123868128;Partai Demokrat (Indonesia);Q1186227
A. Jules Sihombing;Q123869659;Partai Persatuan Indonesia;Q19752495
A. Kadir Halid;Q123891896;Partai Golongan Karya;Q1536552
A. Kafabihi Falahudin;Q123879874;Partai Kebangkitan Bangsa;Q1257317
A. Khalik;Q123878651;Partai Garda Republik Indonesia;Q123553440
A. Khusnun Aziz;Q123870869;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. L. Bintoro;Q123710084;Partai Solidaritas Indonesia;Q23744654
A. Lisa Paga;Q123894410;Partai Gerakan Indonesia Raya;Q4261459
A. M Guntur Muchtar;Q123715162;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Mahfi;Q123867110;Partai Bulan Bintang;Q2915024
A. Malik Ibrahim;Q123895594;Partai NasDem;Q4207219
A. Mangunsidi M.;Q123892525;Partai Gerakan Indonesia Raya;Q4261459
A. Maolana;Q123879398;Partai Kebangkitan Nusantara;Q115754699
A. Mappangara;Q123894423;Partai Golongan Karya;Q1536552
A. Marini Ariakati;Q123894430;Partai NasDem;Q4207219
A. Mattotorang;Q123894489;Partai Kebangkitan Bangsa;Q1257317
A. Mius;Q123871673;Partai Gelombang Rakyat Indonesia;Q97016042
A. Muchtar Mappatoba;Q123892326;Partai Gerakan Indonesia Raya;Q4261459
A. Muh. Ikhsan;Q123892524;Partai Kebangkitan Bangsa;Q1257317
A. Muh. Ilham Hamid;Q123892762;Partai Amanat Nasional;Q2434365
A. Muh. Nur. Iqram;Q123892802;Partai Persatuan Pembangunan;Q2669302
A. Muhammad Algazali;Q123892348;Partai NasDem;Q4207219
A. Muhammad Arafah;Q123889755;Partai Hati Nurani Rakyat;Q4262041
A. Mukti;Q123872594;Partai Demokrat (Indonesia);Q1186227
A. Mulyana;Q123711078;Partai Keadilan Sejahtera;Q1511101
A. Musair Mansyur Kalla;Q123891926;Partai Keadilan Sejahtera;Q1511101
A. Muslim Fattah;Q123894422;Partai Golongan Karya;Q1536552
A. Nahrowi;Q123873296;Partai Kebangkitan Bangsa;Q1257317
A. Najmu Fuadi Salim;Q123883974;Partai Gelombang Rakyat Indonesia;Q97016042
A. Nawawi;Q123877547;Partai Demokrat (Indonesia);Q1186227
A. Nisa Cenning Ugi;Q123892574;Partai Amanat Nasional;Q2434365
A. Nur Athira A. Thahir;Q123892722;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Nur Fatimah Latief;Q123716514;Partai Kebangkitan Nusantara;Q115754699
A. Nurdin Ibrahim;Q123711539;Partai Gerakan Indonesia Raya;Q4261459
A. Nurhidayati Zainuddin;Q123716573;Partai Persatuan Pembangunan;Q2669302
A. Nurindra B. Charismiadji;Q123712396;Partai NasDem;Q4207219
A. Nuryanti;Q123894399;Partai Kebangkitan Bangsa;Q1257317
A. P. Bangun;Q123867934;Partai Persatuan Indonesia;Q19752495
A. Rachmatika Dewi Yustitia Iqbal;Q123891902;Partai NasDem;Q4207219
A. Rahman;Q123866825;Partai Bulan Bintang;Q2915024
A. Rahman Nahumarury;Q123895186;Partai Demokrat (Indonesia);Q1186227
A. Rahmat Hidayat;Q123868371;Partai NasDem;Q4207219
A. Rahmat Zulfikar;Q123893226;Partai Solidaritas Indonesia;Q23744654
A. Rasyid;Q123887107;Partai Hati Nurani Rakyat;Q4262041
A. Rifqi Nur Mukhtar;Q123891990;Partai Persatuan Pembangunan;Q2669302
A. Rifqi Rohmatulloh;Q123882182;Partai Persatuan Pembangunan;Q2669302
A. Rini Ayunani;Q123892514;Partai Ummat;Q106255756
A. Rozak;Q123880160;Partai NasDem;Q4207219
A. Safwan Alie;Q123874315;Partai Ummat;Q106255756
A. Sahal Maemun;Q123715248;Partai Persatuan Pembangunan;Q2669302
A. Sahrul Amirwan;Q123892634;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Sakina Inayanti;Q123886430;Partai Amanat Nasional;Q2434365
A. Salim;Q123867328;Partai Demokrat (Indonesia);Q1186227
A. Samsul Bahri;Q123716629;Partai Hati Nurani Rakyat;Q4262041
A. Sansari Nurdin;Q123892469;Partai Hati Nurani Rakyat;Q4262041
A. Siswoyo;Q123880842;Partai Bulan Bintang;Q2915024
A. Soraya Widya Sari.;Q123892325;Partai Kebangkitan Bangsa;Q1257317
A. Sugiarti Mangun Karim;Q123892310;Partai Persatuan Pembangunan;Q2669302
A. Suhaera Azikin;Q123892716;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Supani;Q123867100;Partai Amanat Nasional;Q2434365
A. Surahman Batara;Q123892912;Partai Golongan Karya;Q1536552
A. Surianty;Q123892241;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Syaikhul Hadi;Q123714008;Partai Persatuan Pembangunan;Q2669302
A. Syarifuddin;Q123893137;Partai Gerakan Indonesia Raya;Q4261459
A. Syarifudin;Q123887888;Partai Persatuan Pembangunan;Q2669302
A. Syarnubi;Q123873456;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Syuaebah Asba;Q123892060;Partai Amanat Nasional;Q2434365
A. Syukri Holil;Q123873534;Partai Gerakan Indonesia Raya;Q4261459
A. Talib;Q123715958;Partai Amanat Nasional;Q2434365
A. Taufiq Kadir;Q123892548;Partai NasDem;Q4207219
A. Tholib;Q123713375;Partai Ummat;Q106255756
A. Tony;Q123887236;Partai Kebangkitan Bangsa;Q1257317
A. Wahab Nanawi;Q123873522;Partai Ummat;Q106255756
A. Wahab Sya'rani;Q123888454;Partai Amanat Nasional;Q2434365
A. Wahyuni;Q123892393;Partai Persatuan Indonesia;Q19752495
A. Werdin Syam;Q123892641;Partai Golongan Karya;Q1536552
A. Wibi Wibawanto;Q123876281;Partai Demokrasi Indonesia Perjuangan;Q1186306
A. Wishnu Handoyono;Q123713499;Partai Persatuan Indonesia;Q19752495
A. Yamin;Q123878513;Partai Demokrat (Indonesia);Q1186227
A. Yasyir Ridho Loebis;Q123714606;Partai Golongan Karya;Q1536552
A. Yudi Prasetyo;Q123883404;Partai Hati Nurani Rakyat;Q4262041
A. Yuliana;Q123714341;Partai Ummat;Q106255756
A. Yusqi Khotami;Q123882982;Partai Persatuan Pembangunan;Q2669302
A. Zainal P.;Q123716619;Partai Keadilan Sejahtera;Q1511101
A. Zainuddin Jama;Q123893559;Partai Gelombang Rakyat Indonesia;Q97016042
A. Zaki Iskandar Z;Q123710275;Partai Golongan Karya;Q1536552
A.A Adriatico Sinay;Q123891534;Partai Demokrasi Indonesia Perjuangan;Q1186306
A.A Ngr Sri Artini;Q123699750;Partai Amanat Nasional;Q2434365
A.A. Achmad Tito Setiawan;Q123883193;Partai Demokrat (Indonesia);Q1186227
A.A. Gede Agung Aryawan;Q123868751;Partai Persatuan Indonesia;Q19752495
A.A. Suryo Nugroho;Q123879815;Partai Gelombang Rakyat Indonesia;Q97016042
A.A.B. Haryanto;Q123712801;Partai Gerakan Indonesia Raya;Q4261459
A.Heru Listianto;Q123874823;Partai NasDem;Q4207219
A.I. Sulistyorini;Q123883842;Partai Demokrasi Indonesia Perjuangan;Q1186306
A.I.M Nababan;Q123714647;Partai Hati Nurani Rakyat;Q4262041
A.M Nur Huda Kalimullah;Q123880269;Partai Kebangkitan Bangsa;Q1257317
A.M. Anwar Idrus;Q123897289;Partai Persatuan Pembangunan;Q2669302
A.M. Asnandar S.;Q123891889;Partai Demokrasi Indonesia Perjuangan;Q1186306
A.P. H. Yanuar Saswita;Q123712697;Partai Ummat;Q106255756
A.P. Jayus;Q123880052;Partai Amanat Nasional;Q2434365
A.R Sri Sukma Palasari;Q123866607;Partai Ummat;Q106255756
A.R. Krisman Purba;Q123869224;Partai Gerakan Indonesia Raya;Q4261459
A.Rachman;Q123886954;Partai Ummat;Q106255756
A.Samsurijal;Q123892620;Partai Kebangkitan Bangsa;Q1257317
Aa Sarip;Q123878130;Partai Gerakan Indonesia Raya;Q4261459
Aad Firdaus;Q123868451;Partai Persatuan Indonesia;Q19752495
Aam Maryamah;Q123709712;Partai Persatuan Pembangunan;Q2669302
Aam Rama Kusumah;Q123711116;Partai Amanat Nasional;Q2434365
Aam Salam Taufik;Q123878303;Partai Gelombang Rakyat Indonesia;Q97016042
Aan Ainur Rofik;Q123884402;Partai Golongan Karya;Q1536552
Aan Hasanudin;Q123879492;Partai Gerakan Indonesia Raya;Q4261459
Aan Karnamah;Q123868587;Partai Persatuan Indonesia;Q19752495
Aan Mardiana;Q123879526;Partai Gelombang Rakyat Indonesia;Q97016042
Aan Nurjanah;Q123711911;Partai Kebangkitan Nusantara;Q115754699
Aan Risnanda Valevi;Q123866647;Partai Golongan Karya;Q1536552
Aan Rizalni Kurniawan;Q123715334;Partai Demokrat (Indonesia);Q1186227
Aan Rochayanto;Q123713988;Partai Solidaritas Indonesia;Q23744654
Aan Subhan;Q123867944;Partai Persatuan Pembangunan;Q2669302
Aan Surya Priyana;Q123878551;Partai Kebangkitan Bangsa;Q1257317
Aan Uju Mihadi;Q123867471;Partai Buruh;Q4203001
Aan Wiradinata;Q123874171;Partai Persatuan Indonesia;Q19752495
Aandri Saputra;Q123871253;Partai NasDem;Q4207219
Aang Anwarudin;Q123878869;Partai Amanat Nasional;Q2434365
Aang Kunaepi;Q123877922;Partai Bulan Bintang;Q2915024
Aang Rusli Ubaidillah;Q123884128;Partai Gelombang Rakyat Indonesia;Q97016042
Aank Junaidi;Q123867201;Partai Gerakan Indonesia Raya;Q4261459
Aas Asma;Q123897856;Partai Demokrasi Indonesia Perjuangan;Q1186306
Aba L. Anie;Q123886610;Partai Golongan Karya;Q1536552
Abadi;Q123874755;Partai Demokrat (Indonesia);Q1186227
Abadi;Q123874796;Partai Gerakan Indonesia Raya;Q4261459
Abadi Saragih;Q123889714;Partai Buruh;Q4203001
