kodeId:ID,nama,:LABEL
Q123892634,A. Sahrul Amirwan,Politikus
Q123886430,A. Sakina Inayanti,Politikus
Q123867328,A. Salim,Politikus
Q123716629,A. Samsul Bahri,Politikus
Q123892469,A. Sansari Nurdin,Politikus
Q123880842,A. Siswoyo,Politikus
Q123892325,A. Soraya Widya Sari.,Politikus
Q123892310,A. Sugiarti Mangun Karim,Politikus
Q123892716,A. Suhaera Azikin,Politikus
Q123867100,A. Supani,Politikus
Q123892912,A. Surahman Batara,Politikus
Q123892241,A. Surianty,Politikus
Q123714008,A. Syaikhul Hadi,Politikus
Q123893137,A. Syarifuddin,Politikus
Q123887888,A. Syarifudin,Politikus
Q123873456,A. Syarnubi,Politikus
Q123892060,A. Syuaebah Asba,Politikus
Q123873534,A. Syukri Holil,Politikus
Q123715958,A. Talib,Politikus
Q123892548,A. Taufiq Kadir,Politikus
Q123713375,A. Tholib,Politikus
Q123887236,A. Tony,Politikus
Q123873522,A. Wahab Nanawi,Politikus
Q123888454,A. Wahab Sya'rani,Politikus
Q123892393,A. Wahyuni,Politikus
Q123892641,A. Werdin Syam,Politikus
Q123876281,A. Wibi Wibawanto,Politikus
Q123713499,A. Wishnu Handoyono,Politikus
Q123878513,A. Yamin,Politikus
Q123714606,A. Yasyir Ridho Loebis,Politikus
Q123883404,A. Yudi Prasetyo,Politikus
Q123714341,A. Yuliana,Politikus
Q123882982,A. Yusqi Khotami,Politikus
Q123716619,A. Zainal P.,Politikus
Q123893559,A. Zainuddin Jama,Politikus
Q123710275,A. Zaki Iskandar Z,Politikus
Q123891534,A.A Adriatico Sinay,Politikus
Q123699750,A.A Ngr Sri Artini,Politikus
Q123883193,A.A. Achmad Tito Setiawan,Politikus
Q123868751,A.A. Gede Agung Aryawan,Politikus
Q123879815,A.A. Suryo Nugroho,Politikus
Q123712801,A.A.B. Haryanto,Politikus
Q123874823,A.Heru Listianto,Politikus
Q123883842,A.I. Sulistyorini,Politikus
Q123714647,A.I.M Nababan,Politikus
Q123880269,A.M Nur Huda Kalimullah,Politikus
Q123897289,A.M. Anwar Idrus,Politikus
Q123891889,A.M. Asnandar S.,Politikus
Q123712697,A.P. H. Yanuar Saswita,Politikus
Q123880052,A.P. Jayus,Politikus
Q123866607,A.R Sri Sukma Palasari,Politikus
Q123869224,A.R. Krisman Purba,Politikus
Q123886954,A.Rachman,Politikus
Q123892620,A.Samsurijal,Politikus
Q122809400,,Politikus
Q123726021,,Politikus
Q123878130,Aa Sarip,Politikus
Q123726145,,Politikus
Q123868451,Aad Firdaus,Politikus
Q123709712,Aam Maryamah,Politikus
Q123711116,Aam Rama Kusumah,Politikus
Q123878303,Aam Salam Taufik,Politikus
Q123884402,Aan Ainur Rofik,Politikus
Q123726119,,Politikus
Q123879492,Aan Hasanudin,Politikus
Q123868587,Aan Karnamah,Politikus
Q123879526,Aan Mardiana,Politikus
Q123711911,Aan Nurjanah,Politikus
Q123866647,Aan Risnanda Valevi,Politikus
Q123715334,Aan Rizalni Kurniawan,Politikus
Q123713988,Aan Rochayanto,Politikus
Q123867944,Aan Subhan,Politikus
Q123878551,Aan Surya Priyana,Politikus
Q123867471,Aan Uju Mihadi,Politikus
Q123874171,Aan Wiradinata,Politikus
Q123871253,Aandri Saputra,Politikus
Q123878869,Aang Anwarudin,Politikus
Q123877922,Aang Kunaepi,Politikus
Q123884128,Aang Rusli Ubaidillah,Politikus
Q123867201,Aank Junaidi,Politikus
Q123725990,,Politikus
Q123897856,Aas Asma,Politikus
Q123886610,Aba L. Anie,Politikus
