:START_ID,:END_ID,:TYPE
Q2581141,Q7894412,ALUMNI
Q12470928,Q6177417,ALUMNI
Q12470928,Q12510274,ALUMNI
Q16164136,Q350752,ALUMNI
Q110103165,Q7442749,ALUMNI
Q12470931,Q1026836,ALUMNI
Q12470931,Q1087492,ALUMNI
Q12470931,Q3181122,ALUMNI
Q12470931,Q7476068,ALUMNI
Q12470931,Q8022149,ALUMNI
Q7805962,Q13371,ALUMNI
Q7805962,Q1465303,ALUMNI
Q7805962,Q7686944,ALUMNI
Q17410358,Q1336952,ALUMNI
Q17410358,Q12486653,ALUMNI
Q17410358,Q12511291,ALUMNI
Q25468507,Q3181122,ALUMNI
Q3498269,Q534515,ALUMNI
Q12470932,Q2306715,ALUMNI
Q19942252,Q17997867,ALUMNI
Q61119292,Q12471192,ALUMNI
Q19723758,Q10862512,ALUMNI
Q16164293,Q534515,ALUMNI
Q16164293,Q12523482,ALUMNI
Q72087658,Q7894418,ALUMNI
Q19723760,Q12523322,ALUMNI
Q10860255,Q7894412,ALUMNI
Q96988001,Q4200627,ALUMNI
Q96988001,Q12523351,ALUMNI
Q96988001,Q19739973,ALUMNI
Q61118691,Q7896000,ALUMNI
Q96989072,Q12523473,ALUMNI
Q18421250,Q534515,ALUMNI
Q18421250,Q4200627,ALUMNI
Q18421250,Q7894412,ALUMNI
Q18421250,Q12486647,ALUMNI
Q18421250,Q12510549,ALUMNI
Q18421250,Q12523282,ALUMNI
Q18421250,Q12708495,ALUMNI
Q18421250,Q20460957,ALUMNI
Q137896159,Q1145992,ALUMNI
Q49255433,Q1579397,ALUMNI
Q49255433,Q3181122,ALUMNI
Q49255433,Q12510348,ALUMNI
Q49255433,Q19739892,ALUMNI
Q132671021,Q1145992,ALUMNI
Q132671021,Q12510277,ALUMNI
Q132671021,Q121127078,ALUMNI
Q132671021,Q123774044,ALUMNI
Q16164615,Q1145992,ALUMNI
Q3745,Q10862378,ALUMNI
Q56398855,Q6482697,ALUMNI
Q12470959,Q7481592,ALUMNI
Q97308072,Q1494353,ALUMNI
Q16164694,Q1145992,ALUMNI
Q18421363,Q12523329,ALUMNI
Q96989473,Q25466592,ALUMNI
Q56511458,Q478044,ALUMNI
Q56511458,Q534515,ALUMNI
Q56511458,Q12510611,ALUMNI
Q12470965,Q1579397,ALUMNI
Q12470965,Q12486653,ALUMNI
Q16164725,Q12510187,ALUMNI
Q16164725,Q97572828,ALUMNI
Q16164725,Q125034542,ALUMNI
Q12470972,Q6026203,ALUMNI
Q4187362,Q6177417,ALUMNI
Q96989498,Q12523348,ALUMNI
Q65207982,Q12523349,ALUMNI
Q16164839,Q10862378,ALUMNI
Q16164901,Q7894412,ALUMNI
Q4200190,Q12523423,ALUMNI
Q16164986,Q534515,ALUMNI
Q16165013,Q3181122,ALUMNI
Q12471140,Q319078,ALUMNI
Q12471140,Q598841,ALUMNI
Q12471140,Q1145992,ALUMNI
Q12471148,Q350752,ALUMNI
Q12471148,Q12481560,ALUMNI
Q12471148,Q12523418,ALUMNI
Q16176699,Q7603607,ALUMNI
Q2581168,Q534515,ALUMNI
Q2581168,Q1824905,ALUMNI
Q2581168,Q12504954,ALUMNI
Q17410363,Q4200627,ALUMNI
Q25469243,Q4200341,ALUMNI
Q17410364,Q478044,ALUMNI
Q17997939,Q534515,ALUMNI
Q61119223,Q12523408,ALUMNI
Q61119223,Q123395170,ALUMNI
Q16165599,Q4200627,ALUMNI
Q12471431,Q534515,ALUMNI
Q12471431,Q12523355,ALUMNI
Q17410367,Q1579397,ALUMNI
Q12471444,Q12523487,ALUMNI
Q19723853,Q12523322,ALUMNI
Q19723853,Q12523440,ALUMNI
Q19723853,Q19734560,ALUMNI
Q19723853,Q101259110,ALUMNI
Q19723853,Q109330029,ALUMNI
Q4717563,Q2308020,ALUMNI
Q4717563,Q4250926,ALUMNI
Q4717563,Q57947176,ALUMNI
Q12682432,Q156598,ALUMNI
Q20278341,Q7896071,ALUMNI
Q85988606,Q19751985,ALUMNI
Q97590588,Q534515,ALUMNI
Q108895248,Q17997867,ALUMNI
Q96987310,Q12523344,ALUMNI
Q957483,Q534515,ALUMNI
Q50827553,Q12506153,ALUMNI
Q50827553,Q12523349,ALUMNI
Q40168296,Q478044,ALUMNI
Q109563968,Q19745903,ALUMNI
Q12471487,Q534515,ALUMNI
Q12471487,Q1145992,ALUMNI
Q12471486,Q534515,ALUMNI
Q12471489,Q4200627,ALUMNI
Q16166068,Q7603634,ALUMNI
Q16166068,Q12486667,ALUMNI
Q2669326,Q156598,ALUMNI
Q96989495,Q3181122,ALUMNI
Q96989495,Q7686915,ALUMNI
Q96989495,Q12523390,ALUMNI
Q17997991,Q4200341,ALUMNI
Q17997991,Q12523313,ALUMNI
Q17997991,Q64828459,ALUMNI
Q17997991,Q97572803,ALUMNI
Q13091528,Q168756,ALUMNI
Q13091528,Q534515,ALUMNI
Q17997992,Q280361,ALUMNI
Q96987623,Q12486647,ALUMNI
Q96988727,Q12523290,ALUMNI
Q17410558,Q4200297,ALUMNI
Q16162627,Q1579397,ALUMNI
Q16162627,Q6482697,ALUMNI
Q12471516,Q12523322,ALUMNI
Q12471516,Q12523366,ALUMNI
Q12471516,Q97596283,ALUMNI
Q16166149,Q280361,ALUMNI
Q16166149,Q123387291,ALUMNI
Q96989608,Q478044,ALUMNI
Q97455331,Q14091635,ALUMNI
Q109438095,Q12523364,ALUMNI
Q4738167,Q4763600,ALUMNI
Q2840640,Q13371,ALUMNI
Q2840640,Q173959,ALUMNI
Q2840640,Q1420239,ALUMNI
Q131351990,Q6177417,ALUMNI
Q109441306,Q10862512,ALUMNI
Q97590785,Q350752,ALUMNI
Q97590785,Q67179948,ALUMNI
Q19723890,Q7894418,ALUMNI
Q28485094,Q478044,ALUMNI
Q25470369,Q12510632,ALUMNI
Q56399007,Q534515,ALUMNI
Q2202270,Q131252,ALUMNI
Q2202270,Q173959,ALUMNI
Q2202270,Q178848,ALUMNI
Q2202270,Q432637,ALUMNI
Q2202270,Q1145992,ALUMNI
Q96989142,Q13098258,ALUMNI
Q97590783,Q12523366,ALUMNI
Q109442916,Q12523418,ALUMNI
Q56416843,Q3958218,ALUMNI
Q105478117,Q12523376,ALUMNI
Q4252072,Q10862512,ALUMNI
Q1810083,Q57046996,ALUMNI
Q17998069,Q12523349,ALUMNI
Q96989441,Q25455566,ALUMNI
Q20741989,Q478044,ALUMNI
Q97590811,Q534515,ALUMNI
Q97590811,Q4200627,ALUMNI
Q97590811,Q12510413,ALUMNI
Q97590823,Q7408055,ALUMNI
Q25469672,Q12522872,ALUMNI
Q109563835,Q7894421,ALUMNI
Q109563835,Q12523331,ALUMNI
Q109563835,Q12712165,ALUMNI
Q106648138,Q109921919,ALUMNI
Q106648138,Q123806109,ALUMNI
Q25462880,Q4200341,ALUMNI
Q25466935,Q7322177,ALUMNI
Q16166850,Q1896627,ALUMNI
Q4273018,Q12511013,ALUMNI
Q4273018,Q19752881,ALUMNI
Q4273018,Q124205630,ALUMNI
Q12471972,Q4250926,ALUMNI
Q85988706,Q7894412,ALUMNI
Q96989184,Q12495724,ALUMNI
Q96989184,Q12523349,ALUMNI
Q96989184,Q97608144,ALUMNI
Q486470,Q1145992,ALUMNI
Q97590763,Q7894421,ALUMNI
Q97590763,Q12523435,ALUMNI
Q97590763,Q74433095,ALUMNI
Q25466456,Q19751985,ALUMNI
Q96988684,Q4200341,ALUMNI
Q60538759,Q1145992,ALUMNI
Q138078373,Q478044,ALUMNI
Q138078373,Q1336952,ALUMNI
Q133832443,Q478044,ALUMNI
Q131808527,Q97570586,ALUMNI
Q97307382,Q478044,ALUMNI
Q109564170,Q478044,ALUMNI
Q11093005,Q1145992,ALUMNI
Q109564173,Q12523348,ALUMNI
Q12472022,Q7590080,ALUMNI
Q12472022,Q97577635,ALUMNI
Q125150845,Q19751985,ALUMNI
Q97590771,Q478044,ALUMNI
Q97590771,Q97570581,ALUMNI
Q31174043,Q6482697,ALUMNI
Q31174043,Q12522872,ALUMNI
Q31174043,Q12712165,ALUMNI
Q109438318,Q478044,ALUMNI
Q109434322,Q12523371,ALUMNI
Q20278351,Q534515,ALUMNI
Q109564004,Q12523285,ALUMNI
Q123245319,Q350752,ALUMNI
Q123245319,Q4200627,ALUMNI
Q132307457,Q12523408,ALUMNI
Q96987676,Q478044,ALUMNI
Q96987676,Q19734784,ALUMNI
Q123667774,Q598841,ALUMNI
Q123667774,Q4250926,ALUMNI
Q49252587,Q478044,ALUMNI
Q85988747,Q10862512,ALUMNI
Q97590821,Q478044,ALUMNI
Q97590821,Q12510611,ALUMNI
Q19745525,Q534515,ALUMNI
Q96989505,Q2306715,ALUMNI
Q16167068,Q598841,ALUMNI
Q16167068,Q5287796,ALUMNI
Q16167068,Q7476068,ALUMNI
Q16167068,Q12511196,ALUMNI
Q85988763,Q534515,ALUMNI
Q85988763,Q1145992,ALUMNI
Q85988763,Q12510550,ALUMNI
Q85988763,Q12510953,ALUMNI
Q12472050,Q4250926,ALUMNI
Q12472050,Q12510519,ALUMNI
Q12472050,Q77299396,ALUMNI
Q19751269,Q14091635,ALUMNI
Q109441109,Q3130435,ALUMNI
Q109726757,Q14091635,ALUMNI
Q16167160,Q1579397,ALUMNI
Q16167160,Q7452397,ALUMNI
Q72242032,Q734764,ALUMNI
Q72242032,Q1145731,ALUMNI
Q13091583,Q2308020,ALUMNI
Q117254176,Q534515,ALUMNI
Q117254176,Q12523324,ALUMNI
Q56415851,Q4250919,ALUMNI
Q12472112,Q49117,ALUMNI
Q12472112,Q1145992,ALUMNI
Q4263230,Q503415,ALUMNI
Q4263230,Q1145992,ALUMNI
Q4263230,Q1191344,ALUMNI
Q4263230,Q7895699,ALUMNI
Q109438098,Q18941968,ALUMNI
Q96989115,Q534515,ALUMNI
Q96989115,Q1494353,ALUMNI
Q96989115,Q12511105,ALUMNI
Q96989115,Q28725217,ALUMNI
Q12472171,Q10862378,ALUMNI
Q123219135,Q12523344,ALUMNI
Q123219135,Q109913939,ALUMNI
Q96989595,Q6124490,ALUMNI
Q97590560,Q4250926,ALUMNI
Q97590560,Q12523307,ALUMNI
Q97590560,Q12712165,ALUMNI
Q15939327,Q7603634,ALUMNI
Q132672765,Q49088,ALUMNI
Q132672765,Q534515,ALUMNI
Q132672765,Q7391101,ALUMNI
Q132672765,Q123770835,ALUMNI
Q14917292,Q2306715,ALUMNI
Q12472229,Q1351317,ALUMNI
Q4771059,Q4200297,ALUMNI
Q105270396,Q1847733,ALUMNI
Q4775650,Q1432632,ALUMNI
Q4775650,Q2306715,ALUMNI
Q19723955,Q17997867,ALUMNI
Q96989547,Q969850,ALUMNI
Q96989547,Q12523366,ALUMNI
Q56392458,Q12523469,ALUMNI
Q12472274,Q534515,ALUMNI
Q12472274,Q17997530,ALUMNI
Q12472274,Q64888980,ALUMNI
Q12472274,Q112590962,ALUMNI
Q19723958,Q12523288,ALUMNI
Q96989166,Q19744757,ALUMNI
Q120203772,Q1494353,ALUMNI
Q120221124,Q31173528,ALUMNI
Q25467241,Q7322177,ALUMNI
Q28485065,Q12523368,ALUMNI
Q28485065,Q19734894,ALUMNI
Q96989443,Q56394483,ALUMNI
Q26236894,Q49212,ALUMNI
Q26236894,Q1579397,ALUMNI
Q26236894,Q12510519,ALUMNI
Q26236894,Q109062183,ALUMNI
Q96987556,Q534515,ALUMNI
Q61119085,Q1145731,ALUMNI
Q109431878,Q4250926,ALUMNI
Q109431878,Q25471072,ALUMNI
Q97590547,Q12523330,ALUMNI
Q16167910,Q1145992,ALUMNI
Q4790355,Q13371,ALUMNI
Q4790355,Q534515,ALUMNI
Q4790355,Q1824905,ALUMNI
Q28485097,Q350752,ALUMNI
Q16168022,Q534515,ALUMNI
Q109439659,Q534515,ALUMNI
Q109439659,Q7603641,ALUMNI
Q109439659,Q12523315,ALUMNI
Q12472451,Q1247544,ALUMNI
Q12472451,Q3181122,ALUMNI
Q12472451,Q64575258,ALUMNI
Q138912983,Q10862512,ALUMNI
Q18421253,Q534515,ALUMNI
Q18421253,Q2306715,ALUMNI
Q12472457,Q534515,ALUMNI
Q107417842,Q3181122,ALUMNI
Q12472461,Q1579397,ALUMNI
Q12472459,Q12712165,ALUMNI
Q129808744,Q4259201,ALUMNI
Q123715120,Q123454290,ALUMNI
Q120202799,Q19751985,ALUMNI
Q138501917,Q3130435,ALUMNI
Q61119194,Q19744761,ALUMNI
Q28731742,Q534515,ALUMNI
Q28731742,Q1353139,ALUMNI
Q28731742,Q19741356,ALUMNI
Q16168205,Q3443498,ALUMNI
Q16168205,Q7442749,ALUMNI
Q16168205,Q12510277,ALUMNI
Q16168205,Q19748156,ALUMNI
Q16168205,Q123774216,ALUMNI
Q56389995,Q534515,ALUMNI
Q56389995,Q4250926,ALUMNI
Q16168287,Q7896055,ALUMNI
Q97590556,Q12523348,ALUMNI
Q96988307,Q56400170,ALUMNI
Q96988815,Q1896627,ALUMNI
Q96988815,Q12510627,ALUMNI
Q96988815,Q19739811,ALUMNI
Q96988815,Q19752729,ALUMNI
Q59656271,Q458393,ALUMNI
Q59656271,Q1059517,ALUMNI
Q12472588,Q7894418,ALUMNI
Q12472588,Q12510656,ALUMNI
Q25466209,Q12523349,ALUMNI
Q97590601,Q1180978,ALUMNI
Q97590601,Q4250926,ALUMNI
Q136235960,Q19744837,ALUMNI
Q136235960,Q109921869,ALUMNI
Q109564299,Q12522872,ALUMNI
Q17998386,Q4200627,ALUMNI
Q49251416,Q4200297,ALUMNI
Q12472657,Q280361,ALUMNI
Q12472657,Q1494353,ALUMNI
Q12472657,Q12523322,ALUMNI
Q16168725,Q19734560,ALUMNI
Q16168725,Q19744761,ALUMNI
Q16168725,Q109330029,ALUMNI
Q16168742,Q10862512,ALUMNI
Q123870984,Q16182620,ALUMNI
Q12472703,Q3213529,ALUMNI
Q12472703,Q123814737,ALUMNI
Q16168780,Q7894421,ALUMNI
Q16168780,Q12471190,ALUMNI
Q112601372,Q12510368,ALUMNI
Q112601372,Q19751985,ALUMNI
Q112601372,Q121119286,ALUMNI
Q112601372,Q121127078,ALUMNI
Q12472734,Q153006,ALUMNI
Q12472734,Q168426,ALUMNI
Q25462903,Q4200341,ALUMNI
Q96989450,Q1847733,ALUMNI
Q96989450,Q3267815,ALUMNI
Q96989450,Q12509746,ALUMNI
Q96989450,Q12523309,ALUMNI
Q96989450,Q12523487,ALUMNI
Q96989450,Q12707341,ALUMNI
Q25466593,Q4027436,ALUMNI
Q138314729,Q7603611,ALUMNI
Q138314729,Q19744798,ALUMNI
Q97306763,Q280361,ALUMNI
Q97306763,Q422208,ALUMNI
Q97306763,Q478044,ALUMNI
Q97306763,Q1145992,ALUMNI
Q97306763,Q2306715,ALUMNI
Q97306763,Q14933548,ALUMNI
Q97306763,Q125034004,ALUMNI
Q135013426,Q478044,ALUMNI
Q136419011,Q280361,ALUMNI
Q136419011,Q19751985,ALUMNI
Q25468031,Q19751985,ALUMNI
Q4829801,Q534515,ALUMNI
Q97590604,Q12523281,ALUMNI
Q31174107,Q7322177,ALUMNI
Q12472914,Q3181122,ALUMNI
Q97592875,Q4250919,ALUMNI
Q97592875,Q64887949,ALUMNI
Q136538461,Q1145992,ALUMNI
Q97590789,Q7452397,ALUMNI
Q97590708,Q534515,ALUMNI
Q97590708,Q12712165,ALUMNI
Q12472974,Q12486122,ALUMNI
Q109563751,Q478044,ALUMNI
Q109563751,Q97570586,ALUMNI
Q109434697,Q97570581,ALUMNI
Q16169248,Q1141452,ALUMNI
Q16169248,Q3181122,ALUMNI
Q16169248,Q4250926,ALUMNI
Q16169248,Q12511162,ALUMNI
Q16169248,Q12523366,ALUMNI
Q12472980,Q12471190,ALUMNI
Q4833145,Q1579397,ALUMNI
Q4833142,Q1579397,ALUMNI
Q76156,Q273263,ALUMNI
Q76156,Q1579397,ALUMNI
Q4838920,Q168426,ALUMNI
Q4838920,Q273263,ALUMNI
Q4838920,Q3181122,ALUMNI
Q4838920,Q12510986,ALUMNI
Q109438091,Q47927,ALUMNI
Q124794481,Q2306715,ALUMNI
Q124794481,Q7894418,ALUMNI
Q4842524,Q1934491,ALUMNI
Q97590799,Q478044,ALUMNI
Q97590799,Q1494353,ALUMNI
Q49252545,Q19744816,ALUMNI
Q97590710,Q1145992,ALUMNI
Q97590710,Q17997518,ALUMNI
Q16169810,Q457281,ALUMNI
Q16169810,Q534515,ALUMNI
Q16169836,Q18941968,ALUMNI
Q123346111,Q19732714,ALUMNI
Q96988701,Q12523284,ALUMNI
Q109563941,Q7686915,ALUMNI
Q97590756,Q6177417,ALUMNI
Q97590756,Q7442749,ALUMNI
Q97590756,Q12523466,ALUMNI
Q18421409,Q534515,ALUMNI
Q12473894,Q7894421,ALUMNI
Q12473894,Q12510217,ALUMNI
Q11120678,Q1136829,ALUMNI
Q11120678,Q1145992,ALUMNI
Q11120678,Q1191202,ALUMNI
Q11120678,Q1360303,ALUMNI
Q11120678,Q19748105,ALUMNI
Q97590724,Q4250926,ALUMNI
Q97590724,Q17997518,ALUMNI
Q16170072,Q1145992,ALUMNI
Q12474142,Q19732654,ALUMNI
Q17410431,Q12471193,ALUMNI
Q3701615,Q4250926,ALUMNI
Q3701615,Q23807281,ALUMNI
Q25465730,Q1145992,ALUMNI
Q4886112,Q1145992,ALUMNI
Q12475663,Q534515,ALUMNI
Q25465756,Q1336952,ALUMNI
Q114285696,Q280361,ALUMNI
Q114285696,Q12510575,ALUMNI
Q114285696,Q109913064,ALUMNI
Q114285696,Q116844713,ALUMNI
Q114285696,Q123774214,ALUMNI
Q109434299,Q19751985,ALUMNI
Q109434299,Q76402712,ALUMNI
Q109434299,Q123774014,ALUMNI
Q132822994,Q1145992,ALUMNI
Q132822994,Q12510320,ALUMNI
Q16180049,Q534515,ALUMNI
Q16180049,Q1336952,ALUMNI
Q109450394,Q7408055,ALUMNI
Q109450394,Q31781597,ALUMNI
Q109450394,Q123389706,ALUMNI
Q109450394,Q123792449,ALUMNI
Q109450394,Q124183367,ALUMNI
Q16170745,Q7603634,ALUMNI
Q16170833,Q1896627,ALUMNI
Q123269180,Q12523297,ALUMNI
Q19724332,Q280361,ALUMNI
Q4261769,Q7603641,ALUMNI
Q4904525,Q613736,ALUMNI
Q4904525,Q7391421,ALUMNI
Q17410438,Q14091635,ALUMNI
Q108894075,Q1145992,ALUMNI
Q96987689,Q97200009,ALUMNI
Q109563938,Q1100801,ALUMNI
Q109563938,Q4250926,ALUMNI
Q109563938,Q12510564,ALUMNI
Q109563938,Q12510927,ALUMNI
Q109563938,Q99088852,ALUMNI
Q12476725,Q209842,ALUMNI
Q12476725,Q534515,ALUMNI
Q12476886,Q2306715,ALUMNI
Q14262152,Q1145992,ALUMNI
Q25467301,Q4200627,ALUMNI
Q56416574,Q7683446,ALUMNI
Q25461822,Q7452397,ALUMNI
Q96988360,Q2306715,ALUMNI
Q53870701,Q12523366,ALUMNI
Q12477378,Q19744837,ALUMNI
Q65209610,Q1095773,ALUMNI
Q65209610,Q4892294,ALUMNI
Q28723650,Q1145992,ALUMNI
Q28723650,Q12511036,ALUMNI
Q28723650,Q57947176,ALUMNI
Q16171590,Q1145992,ALUMNI
Q17410452,Q534515,ALUMNI
Q17410452,Q12523284,ALUMNI
Q97590807,Q1579397,ALUMNI
Q97590807,Q12510564,ALUMNI
Q97590593,Q1579397,ALUMNI
Q4985101,Q35794,ALUMNI
Q4985101,Q170027,ALUMNI
Q4985101,Q220144,ALUMNI
Q4985101,Q762068,ALUMNI
Q4985101,Q1145992,ALUMNI
Q4985101,Q12511001,ALUMNI
Q105431322,Q319078,ALUMNI
Q105431322,Q681025,ALUMNI
Q105431322,Q3958218,ALUMNI
Q96989135,Q1141959,ALUMNI
Q120203017,Q1573634,ALUMNI
Q12478006,Q1145992,ALUMNI
