:START_ID,:END_ID,tipe,:TYPE
Q19724332,Q16188447,SPOUSE,KERABAT
Q12476446,Q6943523,CHILD,KERABAT
Q12476446,Q12478642,CHILD,KERABAT
Q109439810,Q96989567,CHILD,KERABAT
Q109439810,Q131351990,CHILD,KERABAT
Q109437819,Q16170072,PARENT,KERABAT
Q123726157,Q123871488,PARENT,KERABAT
Q12478642,Q12476446,PARENT,KERABAT
Q12478642,Q56391957,CHILD,KERABAT
Q16172501,Q96988709,CHILD,KERABAT
Q16172501,Q111040547,PARENT,KERABAT
Q131929425,Q123892106,SPOUSE,KERABAT
Q96988377,Q2581141,PARENT,KERABAT
Q123715037,Q17410769,PARENT,KERABAT
Q16174166,Q56900250,SPOUSE,KERABAT
Q16174166,Q123879045,CHILD,KERABAT
Q109450544,Q6065704,SPOUSE,KERABAT
Q17410478,Q123709728,CHILD,KERABAT
Q56399768,Q17410508,SPOUSE,KERABAT
Q97590866,Q106594957,PARENT,KERABAT
Q123305348,Q109724917,SPOUSE,KERABAT
Q100573485,Q15646541,PARENT,KERABAT
Q17410493,Q97239536,CHILD,KERABAT
Q19725425,Q16163751,SIBLING,KERABAT
Q25468888,Q4717563,PARENT,KERABAT
Q107563597,Q7295346,SPOUSE,KERABAT
Q107563597,Q12470962,SIBLING,KERABAT
Q13092889,Q25459745,CHILD,KERABAT
Q17410508,Q56399768,SPOUSE,KERABAT
Q7806029,Q4200758,PARENT,KERABAT
Q7806029,Q7805962,SIBLING,KERABAT
Q7806029,Q57405,PARENT,KERABAT
Q72086432,Q96987535,SPOUSE,KERABAT
Q138502066,Q112896467,SIBLING,KERABAT
Q123583249,Q12523651,CHILD,KERABAT
Q123583249,Q25467966,SPOUSE,KERABAT
Q96989170,Q19752642,SPOUSE,KERABAT
Q12482416,Q112896270,CHILD,KERABAT
Q16176030,Q108901395,SPOUSE,KERABAT
Q16176030,Q109443385,CHILD,KERABAT
Q16176030,Q112875043,CHILD,KERABAT
Q12482544,Q96989450,CHILD,KERABAT
Q12482544,Q123871379,SIBLING,KERABAT
Q112875043,Q109443385,SIBLING,KERABAT
Q112875043,Q16176030,PARENT,KERABAT
Q112875043,Q108901395,PARENT,KERABAT
Q5395350,Q7538599,SIBLING,KERABAT
Q109436275,Q123715089,SPOUSE,KERABAT
Q136376383,Q136485859,CHILD,KERABAT
Q136376383,Q18421350,PARENT,KERABAT
Q5429207,Q72845646,SPOUSE,KERABAT
Q16176817,Q4201482,PARENT,KERABAT
Q468519,Q76127,SPOUSE,KERABAT
Q468519,Q76179,CHILD,KERABAT
Q468519,Q4264069,CHILD,KERABAT
Q468519,Q12507600,CHILD,KERABAT
Q468519,Q12517042,CHILD,KERABAT
Q28723789,Q76127,PARENT,KERABAT
Q18342893,Q3318231,PARENT,KERABAT
Q18342893,Q17410605,PARENT,KERABAT
Q5562954,Q12470931,CHILD,KERABAT
Q4264069,Q76127,PARENT,KERABAT
Q4264069,Q468519,PARENT,KERABAT
Q4264069,Q76179,SIBLING,KERABAT
Q4264069,Q12507600,SIBLING,KERABAT
Q4264069,Q12517042,SIBLING,KERABAT
Q7344813,Q2669342,SPOUSE,KERABAT
Q12485056,Q104830804,CHILD,KERABAT
Q12485056,Q106037105,CHILD,KERABAT
Q76227,Q2669342,CHILD,KERABAT
Q76227,Q16187396,CHILD,KERABAT
Q2669342,Q7344813,SPOUSE,KERABAT
Q2669342,Q76227,PARENT,KERABAT
Q2669342,Q16187396,SIBLING,KERABAT
Q109432805,Q123715122,CHILD,KERABAT
Q72845646,Q5429207,SPOUSE,KERABAT
Q61119038,Q10860115,PARENT,KERABAT
Q107564265,Q12506342,PARENT,KERABAT
Q96989463,Q4201732,SIBLING,KERABAT
Q7347498,Q2202270,PARENT,KERABAT
Q108901395,Q109443385,CHILD,KERABAT
Q108901395,Q112875043,CHILD,KERABAT
Q108901395,Q16176030,SPOUSE,KERABAT
Q25459745,Q13092889,PARENT,KERABAT
Q123715010,Q123871079,CHILD,KERABAT
Q12485356,Q4200758,SIBLING,KERABAT
Q12485356,Q7424827,PARENT,KERABAT
Q12485357,Q12471140,CHILD,KERABAT
Q12485373,Q15272197,SPOUSE,KERABAT
Q12485373,Q72242032,CHILD,KERABAT
Q12485373,Q72242083,CHILD,KERABAT
Q12485373,Q72242117,CHILD,KERABAT
Q12485373,Q102407079,CHILD,KERABAT
Q12485373,Q102407099,CHILD,KERABAT
Q19743834,Q18421415,CHILD,KERABAT
Q112897382,Q123716921,SIBLING,KERABAT
Q112897382,Q123896134,SIBLING,KERABAT
Q12485387,Q109496123,CHILD,KERABAT
Q183581,Q17411648,SIBLING,KERABAT
Q4201732,Q116207898,CHILD,KERABAT
Q4201732,Q96989460,SIBLING,KERABAT
Q4201732,Q96989463,SIBLING,KERABAT
Q25466119,Q4260406,SIBLING,KERABAT
Q109435954,Q25464531,PARENT,KERABAT
Q109435954,Q123714732,SIBLING,KERABAT
Q109435954,Q123869922,SIBLING,KERABAT
Q96987679,Q109706416,SIBLING,KERABAT
Q138782432,Q65209326,SPOUSE,KERABAT
Q16180910,Q56399371,CHILD,KERABAT
Q108896443,Q12499308,PARENT,KERABAT
Q15620237,Q7296050,SPOUSE,KERABAT
Q15620237,Q16167068,CHILD,KERABAT
Q15620237,Q85988757,CHILD,KERABAT
Q111371455,Q1306699,SPOUSE,KERABAT
Q96988058,Q123591593,CHILD,KERABAT
Q72117992,Q102984055,SIBLING,KERABAT
Q72117992,Q16166804,SPOUSE,KERABAT
Q123715014,Q85993219,PARENT,KERABAT
Q123715014,Q4213590,PARENT,KERABAT
Q123290562,Q10860321,SPOUSE,KERABAT
Q16182199,Q17411428,SPOUSE,KERABAT
Q96987535,Q72086432,SPOUSE,KERABAT
Q5726481,Q12497093,SPOUSE,KERABAT
Q123871488,Q123726157,CHILD,KERABAT
Q97590819,Q10860301,PARENT,KERABAT
Q105348151,Q56670739,SIBLING,KERABAT
Q106988389,Q9072611,SPOUSE,KERABAT
Q16187552,Q12518358,SPOUSE,KERABAT
Q17410605,Q3318231,SPOUSE,KERABAT
Q17410605,Q18342893,CHILD,KERABAT
Q25469477,Q17410841,SPOUSE,KERABAT
Q25469477,Q93388029,CHILD,KERABAT
Q4213590,Q85993219,SPOUSE,KERABAT
Q4213590,Q123715014,CHILD,KERABAT
Q12486822,Q16164943,CHILD,KERABAT
Q25465872,Q25469499,PARENT,KERABAT
Q25465872,Q31174016,SIBLING,KERABAT
Q123725958,Q96988337,PARENT,KERABAT
Q123725958,Q109434195,PARENT,KERABAT
Q123716921,Q112897382,SIBLING,KERABAT
Q123716921,Q123896134,SIBLING,KERABAT
Q136100960,Q123584642,CHILD,KERABAT
Q111040547,Q16172501,CHILD,KERABAT
