kodeId:ID,nama,:LABEL
Q4204294,Partai Rakyat Indonesia Merdeka,Partai
Q4314852,Partai Rakyat Nasional,Partai
Q19752635,Partai Republik,Partai
Q4261736,Partai Republika Nusantara,Partai
Q116311936,Partai SIRA,Partai
Q4200848,Partai Sarekat Islam Indonesia (PSII),Partai
Q4261029,Partai Sarikat Indonesia,Partai
Q12503319,Partai Serikat Rakyat Independen,Partai
Q23744654,Partai Solidaritas Indonesia,Partai
Q12503320,Partai Solidaritas Pekerja,Partai
Q12503321,Partai Solidaritas Pekerja Seluruh Indonesia,Partai
Q12503323,Partai Solidaritas Uni Nasional Indonesia,Partai
Q4430206,Partai Sosialis (Indonesia),Partai
Q204699,Partai Sosialis Indonesia,Partai
Q4430208,Partai Sosialis Indonesia (Parsi),Partai
Q4261356,Partai Suara Independen Rakyat Aceh,Partai
Q19742811,Partai Syarikat Islam Indonesia 1905,Partai
Q4204282,Partai Tani Indonesia,Partai
Q12503325,Partai Tionghoa Indonesia,Partai
Q106255756,Partai Ummat,Partai
Q19752372,Partai Ummat Islam,Partai
Q12503326,Partai Ummat Muslimin Indonesia,Partai
Q19744738,Partai Uni Demokrasi Indonesia,Partai
Q25466814,Persatuan Indonesia Raya,Partai
Q19730777,Persatuan Muslim Indonesia,Partai
Q4204285,Persatuan Rakjat Desa,Partai
Q4200849,Persatuan Rakyat Marhaen Indonesia,Partai
Q12505151,Persatuan Tarbiyah Islamiyah,Partai
Q19731494,Relawan Perjuangan Demokrasi,Partai
