:START_ID,:END_ID,:TYPE
Q123891902,Q4207219,ANGGOTA_PARTAI
Q123866825,Q2915024,ANGGOTA_PARTAI
Q123895186,Q1186227,ANGGOTA_PARTAI
Q123868371,Q4207219,ANGGOTA_PARTAI
Q123893226,Q23744654,ANGGOTA_PARTAI
Q123887107,Q4262041,ANGGOTA_PARTAI
Q123891990,Q2669302,ANGGOTA_PARTAI
Q123882182,Q2669302,ANGGOTA_PARTAI
Q123892514,Q106255756,ANGGOTA_PARTAI
Q123880160,Q4207219,ANGGOTA_PARTAI
Q123874315,Q106255756,ANGGOTA_PARTAI
Q123715248,Q2669302,ANGGOTA_PARTAI
Q123892634,Q1186306,ANGGOTA_PARTAI
Q123886430,Q2434365,ANGGOTA_PARTAI
Q123867328,Q1186227,ANGGOTA_PARTAI
Q123716629,Q4262041,ANGGOTA_PARTAI
Q123892469,Q4262041,ANGGOTA_PARTAI
Q123880842,Q2915024,ANGGOTA_PARTAI
Q123892325,Q1257317,ANGGOTA_PARTAI
Q123892310,Q2669302,ANGGOTA_PARTAI
Q123892716,Q1186306,ANGGOTA_PARTAI
Q123867100,Q2434365,ANGGOTA_PARTAI
Q123892912,Q1536552,ANGGOTA_PARTAI
Q123892241,Q1186306,ANGGOTA_PARTAI
Q123714008,Q2669302,ANGGOTA_PARTAI
Q123893137,Q4261459,ANGGOTA_PARTAI
Q123887888,Q2669302,ANGGOTA_PARTAI
Q123873456,Q1186306,ANGGOTA_PARTAI
Q123892060,Q2434365,ANGGOTA_PARTAI
Q123873534,Q4261459,ANGGOTA_PARTAI
Q123715958,Q2434365,ANGGOTA_PARTAI
Q123892548,Q4207219,ANGGOTA_PARTAI
Q123713375,Q106255756,ANGGOTA_PARTAI
Q123887236,Q1257317,ANGGOTA_PARTAI
Q123873522,Q106255756,ANGGOTA_PARTAI
Q123888454,Q2434365,ANGGOTA_PARTAI
Q123892393,Q19752495,ANGGOTA_PARTAI
Q123892641,Q1536552,ANGGOTA_PARTAI
Q123876281,Q1186306,ANGGOTA_PARTAI
Q123713499,Q19752495,ANGGOTA_PARTAI
Q123878513,Q1186227,ANGGOTA_PARTAI
Q123714606,Q1536552,ANGGOTA_PARTAI
Q123883404,Q4262041,ANGGOTA_PARTAI
Q123714341,Q106255756,ANGGOTA_PARTAI
Q123882982,Q2669302,ANGGOTA_PARTAI
