kodeId:ID,nama,:LABEL
Q20427430,Fakultas Keguruan dan Ilmu Pendidikan Universitas Sebelas Maret,Pendidikan
Q1438462,Fort Moore,Pendidikan
Q101259110,Frankfurt University of Applied Sciences Archido,Pendidikan
Q3217284,Hogereburgerschool,Pendidikan
Q7428928,Hollandsch-Inlandsche School,Pendidikan
Q12486117,IAIN Ar-Raniry,Pendidikan
Q109921406,IAIN Imam Bonjol Padang,Pendidikan
Q1136829,INSEAD,Pendidikan
Q189022,Imperial College London,Pendidikan
Q25468649,Institut Agama Islam Darussalam Ciamis,Pendidikan
Q14917448,Institut Agama Islam Negeri Pontianak,Pendidikan
Q12486643,Institut Bisnis dan Informatika Indonesia,Pendidikan
Q12486647,Institut Ilmu Sosial dan Ilmu Politik Jakarta,Pendidikan
Q12486667,Institut Keguruan dan Ilmu Pendidikan,Pendidikan
Q3806225,Institut Kesenian Jakarta,Pendidikan
Q19741356,Institut Komunikasi dan Bisnis LSPR,Pendidikan
Q1057398,Institut Manajemen Asia,Pendidikan
Q7697348,Institut Manajemen Telkom,Pendidikan
Q19751985,Institut Pemerintahan Dalam Negeri,Pendidikan
Q2306715,Institut Pertanian Bogor,Pendidikan
Q12486653,Institut Sains dan Teknologi Nasional,Pendidikan
Q3152325,Institut Seni Indonesia Yogyakarta,Pendidikan
Q1579397,Institut Teknologi Bandung,Pendidikan
Q12486657,Institut Teknologi Indonesia,Pendidikan
Q12486659,Institut Teknologi Medan,Pendidikan
Q12486660,Institut Teknologi Nasional,Pendidikan
Q7452397,Institut Teknologi Sepuluh Nopember,Pendidikan
Q3846721,Institut Teknologi Telkom,Pendidikan
Q12513102,Institut Transportasi dan Logistik Trisakti,Pendidikan
Q18206727,Jamiat Kheir,Pendidikan
Q845138,Japan Advanced Institute of Science and Technology,Pendidikan
Q1824905,Kolese Kanisius,Pendidikan
Q1059517,Kolese Winchester,Pendidikan
Q19727928,Koning Willem III School te Batavia,Pendidikan
Q934782,Koninklijke Militaire Academie,Pendidikan
Q58667835,Kweekschool Fort de Kock,Pendidikan
Q10862378,Lembaga Ilmu Pengetahuan Islam dan Arab,Pendidikan
Q12494364,Lembaga Ketahanan Nasional,Pendidikan
Q372042,Lembaga Pelatihan Eropa,Pendidikan
Q174570,London School of Economics and Political Science,Pendidikan
Q65250918,MA Kulliyatul Muballighien,Pendidikan
Q12495724,MAN 1 Banyuwangi,Pendidikan
Q72811494,MAN 2 Padang Panjang,Pendidikan
Q123444875,MAS Darularafah,Pendidikan
Q97577578,MIN 1 Kota Bandung,Pendidikan
Q123768131,MIN 12 Bireuen,Pendidikan
Q64870303,MIS Mi Miftahul Falah Barak Bokong,Pendidikan
Q97608144,MTSN Srono Banyuwangi,Pendidikan
Q64887949,MTs Darul Ulum Rimbo Bujang,Pendidikan
Q125240694,MTs Darularafah,Pendidikan
Q125240465,MTs Islamiyah Kota Pinang,Pendidikan
Q123766785,MTs Negeri 1 Payakumbuh,Pendidikan
Q123766730,MTs Negeri 2 Padang Pariaman,Pendidikan
Q123766765,MTs Negeri 2 Solok Selatan,Pendidikan
Q123766780,MTs Negeri 6 Padang,Pendidikan
Q2190504,Meer Uitgebreid Lager Onderwijs,Pendidikan
Q1191344,Northern Illinois University,Pendidikan
Q12501424,Opleiding School Voor Inlandsche Ambtenaren,Pendidikan
Q97570549,Pasca Sarjana Universitas Sumatera Utara,Pendidikan
Q3180139,Pembela Tanah Air,Pendidikan
Q12504954,Perguruan Cikini,Pendidikan
Q97234922,Perguruan Thawalib Padang Panjang,Pendidikan
Q12506014,Politeknik Ilmu Pelayaran Semarang,Pendidikan
Q4027436,Politeknik Negeri Padang,Pendidikan
Q18627429,Politeknik Negeri Pontianak,Pendidikan
Q97572810,Politeknik STIA LAN Bandung,Pendidikan
Q12506117,Pondok Modern Darussalam Gontor,Pendidikan
Q125914672,Pondok Pesantren El-Nur El-Kasysyaf,Pendidikan
Q12506153,Pondok Pesantren Tebuireng,Pendidikan
Q4208174,Pondok Pesantren Wali Songo Ngabar,Pendidikan
Q632004,Radboud Universiteit,Pendidikan
Q19752649,Rechtshoogeschool te Batavia,Pendidikan
Q1133142,Ritsumeikan Asia Pacific University,Pendidikan
Q97598818,SD Budi Mulia Bogor,Pendidikan
Q12509708,SD Immanuel,Pendidikan
Q64881072,SD Islam Mujahidin,Pendidikan
Q12509743,SD Merdeka,Pendidikan
Q12509746,SD Muhammadiyah 24,Pendidikan
Q124104697,SD Negeri 060951 Medan,Pendidikan
Q99088852,SD Negeri 09 Tebet Timur,Pendidikan
Q124200097,SD Negeri 1 Kawali,Pendidikan
Q121119286,SD Negeri 1 Padang Panjang Barat,Pendidikan
Q123809140,SD Negeri 1 Remban,Pendidikan
Q109332412,SD Negeri 1 Sijunjung,Pendidikan
Q64888980,SD Negeri 1/VI Bangko I,Pendidikan
Q124187886,SD Negeri 10 Ciamis,Pendidikan
Q123813551,SD Negeri 2 Ampalu,Pendidikan
Q124079002,SD Negeri 2 Kotapinang,Pendidikan
Q116844713,SD Negeri 4 Biaro,Pendidikan
Q123814737,SD Negeri 4 Koto Baru,Pendidikan
Q123806109,SD Negeri 5 Bengkalis,Pendidikan
Q124205630,SD Negeri Jember Kidul 1,Pendidikan
Q12509597,SD Negeri Lubang Buaya 13 Pagi,Pendidikan
Q124183367,SD Negeri Pacet 1,Pendidikan
Q20460957,SD Negeri Pulogadung 2 Petang,Pendidikan
Q97596265,SD Negeri Ungaran I Yogyakarta,Pendidikan
Q64828459,SD Taman Siswa,Pendidikan
Q111684068,SD Yos Sudarso Garut Kota,Pendidikan
Q98745833,SDN I Ambon,Pendidikan
Q97597236,SDN I Kemaraya,Pendidikan
Q107739279,SDN II Ayula Selatan,Pendidikan
Q19734560,SMA Don Bosco Padang,Pendidikan
Q123451689,SMA Dr Wahidin Sudirohusodo Medan,Pendidikan
Q14933548,SMA Islam Al-Azhar 1 Jakarta,Pendidikan
Q31781597,SMA KP 1 Ciparay,Pendidikan
Q12702225,SMA Muhammadiyah 3 Jakarta,Pendidikan
Q64879856,SMA Negeri 1 Abiansemal,Pendidikan
Q12510246,SMA Negeri 1 Ambon,Pendidikan
Q12510248,SMA Negeri 1 Ampek Angkek,Pendidikan
Q19734587,SMA Negeri 1 Banda Aceh,Pendidikan
Q19734594,SMA Negeri 1 Bandung,Pendidikan
Q123387776,SMA Negeri 1 Batipuh,Pendidikan
Q12510274,SMA Negeri 1 Brebes,Pendidikan
Q123387291,SMA Negeri 1 Bukit,Pendidikan
Q12510277,SMA Negeri 1 Bukittinggi,Pendidikan
Q31787633,SMA Negeri 1 Ciamis,Pendidikan
Q19734661,SMA Negeri 1 Cilacap,Pendidikan
Q19734681,SMA Negeri 1 Denpasar,Pendidikan
Q12510293,SMA Negeri 1 Garut,Pendidikan
Q19745500,SMA Negeri 1 Jakarta,Pendidikan
Q98768244,SMA Negeri 1 Jakenan,Pendidikan
Q12510315,SMA Negeri 1 Kendari,Pendidikan
Q12510320,SMA Negeri 1 Klaten,Pendidikan
Q12510413,SMA Negeri 1 Kota Semarang,Pendidikan
Q19734756,SMA Negeri 1 Kotamobagu,Pendidikan
Q123387671,SMA Negeri 1 Kotapinang,Pendidikan
Q19734760,SMA Negeri 1 Kuala Kapuas,Pendidikan
Q12510329,SMA Negeri 1 Lamongan,Pendidikan
Q123389706,SMA Negeri 1 Lirung,Pendidikan
Q12510337,SMA Negeri 1 Magelang,Pendidikan
Q19734784,SMA Negeri 1 Majene,Pendidikan
Q19734802,SMA Negeri 1 Manado,Pendidikan
Q12510348,SMA Negeri 1 Medan,Pendidikan
Q12510364,SMA Negeri 1 Pacitan,Pendidikan
Q12510366,SMA Negeri 1 Padang,Pendidikan
Q12510368,SMA Negeri 1 Padang Panjang,Pendidikan
Q12510382,SMA Negeri 1 Pariaman,Pendidikan
Q19748089,SMA Negeri 1 Pekalongan,Pendidikan
Q19734881,SMA Negeri 1 Pematang Siantar,Pendidikan
Q19734891,SMA Negeri 1 Pontianak,Pendidikan
Q19734894,SMA Negeri 1 Poso,Pendidikan
Q76402712,SMA Negeri 1 Sijunjung,Pendidikan
Q12510322,SMA Negeri 1 Solok,Pendidikan
Q97598446,SMA Negeri 1 Sukatani,Pendidikan
Q12510430,SMA Negeri 1 Sumedang,Pendidikan
Q19752275,SMA Negeri 1 Surakarta,Pendidikan
Q19748105,SMA Negeri 1 Temanggung,Pendidikan
Q12510454,SMA Negeri 1 Wamena,Pendidikan
Q17056026,SMA Negeri 1 Yogyakarta,Pendidikan
Q19735065,SMA Negeri 11 Bandung,Pendidikan
Q12510188,SMA Negeri 11 Jakarta,Pendidikan
Q12510187,SMA Negeri 114 Jakarta,Pendidikan
Q19735082,SMA Negeri 12 Bandung,Pendidikan
Q19735092,SMA Negeri 12 Jakarta,Pendidikan
Q12510207,SMA Negeri 13 Bandung,Pendidikan
Q12510217,SMA Negeri 14 Jakarta,Pendidikan
Q12510229,SMA Negeri 15 Kota Semarang,Pendidikan
Q12510242,SMA Negeri 19 Bandung,Pendidikan
Q12510486,SMA Negeri 2 Bogor,Pendidikan
Q12510488,SMA Negeri 2 Bukittinggi,Pendidikan
Q97598551,SMA Negeri 2 Cilacap,Pendidikan
Q12510497,SMA Negeri 2 Kediri,Pendidikan
Q12510508,SMA Negeri 2 Lumajang,Pendidikan
Q19735173,SMA Negeri 2 Manado,Pendidikan
Q12510519,SMA Negeri 2 Padang,Pendidikan
Q19735187,SMA Negeri 2 Surabaya,Pendidikan
Q12510547,SMA Negeri 2 Yogyakarta,Pendidikan
Q19735191,SMA Negeri 24 Jakarta,Pendidikan
Q28725217,SMA Negeri 28 Jakarta,Pendidikan
Q12510476,SMA Negeri 29 Jakarta,Pendidikan
